"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths","Garage Spaces","Pool YN","Tax Annual Amount"
"1","26026619","S","1","CCT","4 Stone Bridge Court","Demarest","$3,095,000","07/22/2026","$3,095,000","TWNHS","4,699","","4","4","1","2","No","$0"
"1","25039614","S","237","CCT","24 Stone Bridge Court","Demarest","$2,875,000","07/27/2026","$2,875,000","TWNHS","4,684","","4","4","1","2","Yes","$0"
"1","25033226","S","110","CCT","1238 River Road Unit#B","Edgewater","$2,137,500","07/08/2026","$2,250,000","TWNHS","5,000","","4","4","2","2","No","$25,488"
"1","25042718","S","2","CCT","28 Feldman              Court","Paramus","$1,950,000","07/01/2026","$1,950,000","TWNHS","","","3","3","1","2","No","$0"
"1","26010267","S","44","CCT","35 Feldman              Court","Paramus","$1,850,000","07/02/2026","$1,875,000","TWNHS","","","3","3","1","2","No","$0"
"1","26000450","S","4","CCT","14 Feldman              Court","Paramus","$1,850,000","07/06/2026","$1,850,000","TWNHS","","","3","3","1","2","No","$0"
"1","26009992","S","33","CCT","204 Bearwoods Road","Park Ridge","$1,820,000","07/15/2026","$1,849,000","TWNHS","4,287","","4","4","1","2","Yes","$31,100"
"1","25043623","S","6","CCT","24 Feldman              Court","Paramus","$1,800,000","07/08/2026","$1,805,000","TWNHS","","","3","3","1","2","No","$0"
"1","25043807","S","6","CCT","2 Feldman              Court","Paramus","$1,795,000","07/13/2026","$1,795,000","TWNHS","","","3","3","1","2","No","$0"
"1","26016073","S","36","CCT","900 Heights Lane","Tenafly","$1,750,000","07/26/2026","$1,690,000","TWNHS","","","4","4","1","2","No","$29,114"
"1","26023457","S","5","CCT","9 Feldman              Court","Paramus","$1,700,000","07/14/2026","$1,720,000","TWNHS","","","3","3","1","2","No","$0"
"1","26020454","S","1","CCT","5 Feldman              Court","Paramus","$1,695,000","07/13/2026","$1,699,995","TWNHS","","","3","3","1","2","No","$0"
"1","26000356","S","127","CCT","716 Undercliff Avenue Unit#716","Edgewater","$1,600,000","07/01/2026","$1,620,000","TWNHS","4,200","","5","4","1","2","No","$25,000"
"1","26016883","S","37","CCT","19 Woodmont             Circle","River Vale","$1,599,999","07/23/2026","$1,599,999","TWNHS","","","3","3","1","1","No","$31,475"
"1","26017637","S","12","CCT","111 Woodmont Circle","River Vale","$1,578,777","07/30/2026","$1,578,777","TWNHS","","","3","3","1","2","No","$0"
"1","26028856","S","127","CCT","265 Hampshire Ridge","Park Ridge","$1,550,000","07/30/2026","$1,550,000","TWNHS","4,287","","3","2","1","2","Yes","$23,064"
"1","26010913","S","11","CCT","182 E Woodmont             Circle Unit#182","River Vale","$1,490,000","07/08/2026","$1,490,000","TWNHS","2,969","","3","3","2","2","No","$29,287"
"1","26008297","S","67","CCT","432 Stillwell Avenue Unit#B","Fort Lee","$1,465,000","07/17/2026","$1,499,888","Condo","3,400","","3","2","2","2","No","$0"
"1","26011220","S","66","CCT","13 Muirfield            Lane","River Vale","$1,464,000","07/24/2026","$1,474,000","TWNHS","2,950","","3","4","1","2","No","$0"
"1","26018513","S","16","CCT","519 4th Street Unit#A","Palisades Park","$1,460,000","07/15/2026","$1,475,000","TWNHS","3,000","","4","3","1","2","No","$0"
"1","26011543","S","48","CCT","28 Skye                 Drive","Paramus","$1,420,000","07/01/2026","$1,450,000","TWNHS","2,920","","3","2","2","2","No","$16,868"
"1","26015941","S","6","CCT","117 Kensington Drive Unit#304","Fort Lee","$1,400,000","07/21/2026","$1,399,000","TWNHS","2,658","","4","3","2","2","Yes","$19,918"
"1","26020513","S","7","CCT","14 Hooks Lane","Edgewater","$1,295,000","07/20/2026","$1,249,900","TWNHS","3,078","","4","3","1","1","No","$18,336"
"1","26013727","S","57","CCT","15 Cinnamon             Drive","Upper Saddle River","$1,275,000","07/27/2026","$1,300,000","TWNHS","","","3","2","2","2","No","$19,374"
"1","26014604","S","21","CCT","110 Mason Court Unit#2G","Haworth","$1,268,000","07/28/2026","$1,300,000","TWNHS","3,306","","3","2","2","2","No","$24,020"
"1","26016679","S","17","CCT","33 Cranberry Lane Unit#17","Montvale","$1,250,000","07/02/2026","$1,269,000","TWNHS","3,034","","3","2","1","2","No","$23,174"
"1","26013680","S","58","CCT","294 Spring Avenue","Ridgewood","$1,250,000","07/02/2026","$1,100,000","TWNHS","2,192","","3","3","1","1","No","$17,025"
"1","26013224","S","36","CCT","519 Walnut Street","Fort Lee","$1,230,000","07/22/2026","$1,250,000","TWNHS","","","3","2","2","2","No","$19,129"
"1","26014797","S","32","CCT","330 8th Street Unit#1","Palisades Park","$1,225,000","07/24/2026","$1,260,000","Condo","2,254","","4","3","1","2","No","$13,558"
"1","26010086","S","45","CCT","220B Glen Avenue","Palisades Park","$1,220,000","07/14/2026","$1,199,000","Condo","","","4","3","1","2","No","$13,892"
"1","26005461","S","6","CCT","10 Winfield Drive Unit#602","Woodcliff Lake","$1,202,000","07/14/2026","$1,150,000","TWNHS","2,522","","3","4","1","2","No","$19,433"
"1","26011681","S","13","CCT","404 Jefferson            Court Unit#PH4","Edgewater","$1,200,000","07/07/2026","$1,098,000","Condo","1,673","","2","2","0","2","Yes","$13,358"
"1","26005805","S","88","CCT","760 Undercliff           Unit#B","Edgewater","$1,200,000","07/24/2026","$1,490,000","TWNHS","2,040","","4","3","1","1","No","$20,908"
"1","26013393","S","19","CCT","3 Daniel Drive","Englewood","$1,150,000","07/21/2026","$1,200,000","TWNHS","2,286","","3","2","1","2","Yes","$19,250"
