"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths","Garage Spaces","Pool YN","Tax Annual Amount"
"1","26007741","S","14","RES","309 Green Ridge Road","Franklin Lakes","$4,400,000","07/15/2026","$4,500,000","Colonial","","43,560","7","8","2","3","Yes","$0"
"1","26019004","S","7","RES","236 Mountain Avenue","Ridgewood","$3,875,000","07/21/2026","$3,995,000","Colonial","","32,496","5","4","2","3","Yes","$51,309"
"1","26006546","S","82","RES","577 Floyd Street","Englewood Cliffs","$3,850,000","07/20/2026","$4,300,000","Colonial","","26,202","6","6","1","2","Yes","$0"
"1","26021246","S","15","RES","6 Allison Drive","Englewood Cliffs","$3,750,000","07/24/2026","$3,750,000","Colonial","","9,879","7","6","1","3","No","$23,235"
"1","26006962","S","131","RES","56 Lilac Lane","Paramus","$3,500,000","07/20/2026","$3,589,000","Colonial","","44,000","5","3","2","3","Yes","$25,927"
"1","26014872","S","9","RES","268 Woodside Avenue","Franklin Lakes","$3,390,250","07/21/2026","$3,750,000","Colonial","","70,132","5","6","2","3","No","$43,674"
"1","26005700","S","56","RES","36 Clearwater Drive","Ho-Ho-Kus","$3,200,000","07/20/2026","$3,499,000","Colonial","","43,560","5","5","1","3","Yes","$38,140"
"1","26011704","S","33","RES","199 Whitman Street","Haworth","$3,150,000","07/24/2026","$3,199,000","Colonial","","14,000","6","5","2","3","Yes","$39,734"
"1","26019526","S","15","RES","184 Donny Brook Drive","Allendale","$2,900,000","07/22/2026","$2,790,000","Colonial","","39,988","6","6","1","3","Yes","$50,655"
"1","26013295","S","40","RES","25 Macarthur Avenue","Closter","$2,900,000","07/24/2026","$3,150,000","Colonial","","13,000","6","5","1","2","No","$0"
"1","26009325","S","21","RES","35 Echo Ridge Road","Upper Saddle River","$2,732,835","07/16/2026","$2,499,000","Colonial","","37,897","6","8","1","3","Yes","$43,558"
"1","26010671","S","13","RES","24 Country Club Way","Demarest","$2,700,000","07/24/2026","$2,799,000","Colonial","","43,996","6","6","1","3","Yes","$56,393"
"1","26017214","S","19","RES","14 Beechwood Road","Ho-Ho-Kus","$2,640,000","07/22/2026","$2,695,000","Colonial","","10,123","5","5","1","2","No","$0"
"1","26010745","S","11","RES","9 Toboggan Ridge Road","Saddle River","$2,625,000","07/15/2026","$2,300,000","Colonial","","87,556","5","4","1","3","Yes","$19,862"
"1","25041914","S","7","RES","33 Beekman Place","Glen Rock","$2,485,000","07/17/2026","$2,485,000","Colonial","","11,008","6","5","1","2","No","$0"
"1","26015887","S","12","RES","469 Hartung Drive","Wyckoff","$2,460,000","07/16/2026","$1,945,000","Colonial","","43,242","5","4","1","3","Yes","$26,186"
"1","26017716","S","8","RES","151 Valley View Avenue","Ridgewood","$2,440,000","07/15/2026","$1,975,000","Colonial","","24,132","5","3","1","2","No","$29,229"
"1","26011477","S","12","RES","228 Spring Valley Road","Paramus","$2,300,000","07/21/2026","$2,378,900","Colonial","","11,282","6","6","1","2","No","$0"
"1","26021809","S","8","RES","241 Avondale Road","Ridgewood","$2,275,000","07/19/2026","$1,675,000","Colonial","","14,593","4","3","1","2","No","$26,816"
"1","26015077","S","34","RES","307 Center Street","Englewood Cliffs","$2,201,000","07/17/2026","$2,200,000","Contemp","","9,144","5","6","1","2","No","$16,855"
"1","26028361","S","170","RES","703 Somerset Street","Franklin Lakes","$2,200,000","07/20/2026","$2,200,000","Colonial","","41,818","5","6","0","2","Yes","$26,846"
"1","25002343","S","104","RES","258 Lynn                 Street","Harrington Park","$2,175,000","07/17/2026","$1,999,000","Colonial","","15,732","4","4","1","2","No","$0"
"1","26018268","S","8","RES","141 W End Avenue","Ridgewood","$2,150,000","07/24/2026","$1,895,000","Colonial","","21,127","5","2","2","2","No","$29,171"
"1","26016010","S","10","RES","101 Tam O Shanter Drive","Mahwah","$2,100,000","07/17/2026","$1,899,000","Colonial","","43,320","6","4","1","2","Yes","$13,612"
"1","26013627","S","34","RES","215 Beechwood            Road","Ridgewood","$1,999,900","07/23/2026","$2,200,000","Colonial","","14,985","6","3","1","2","No","$34,284"
"1","26023788","S","4","RES","49 Ross Avenue","Demarest","$1,999,000","07/16/2026","$1,999,999","Colonial","","10,019","5","3","1","","No","$30,995"
"1","26018152","S","8","RES","43 Walsh Drive","Mahwah","$1,975,000","07/20/2026","$1,950,000","Colonial","","40,075","5","4","1","3","Yes","$28,323"
"1","26027035","S","58","RES","214 Ackerman Avenue","Ho-Ho-Kus","$1,969,000","07/16/2026","$1,969,000","Colonial","","10,359","3","2","0","","No","$10,359"
"1","26018959","S","14","RES","61 Surrey Lane","Tenafly","$1,960,000","07/21/2026","$1,899,000","Colonial","","7,501","4","3","1","1","No","$0"
"1","26027503","S","285","RES","47 Nidd Court","Allendale","$1,950,000","07/15/2026","$1,950,000","Colonial","","39,988","4","3","1","","Yes","$27,060"
"1","26007317","S","50","RES","57 Merrifield Way","Cresskill","$1,925,000","07/20/2026","$1,925,000","Colonial","","11,014","5","4","1","2","No","$27,085"
"1","26013717","S","20","RES","273 Wilson Drive","Cresskill","$1,919,000","07/23/2026","$1,935,000","Contemp","","39,988","5","3","1","2","No","$33,384"
"1","26016971","S","28","RES","10 Parker Place","Old Tappan","$1,850,000","07/20/2026","$1,890,000","Colonial","","25,500","6","4","2","","Yes","$31,886"
"1","26012640","S","74","RES","34 Merrifield Way","Cresskill","$1,845,000","07/15/2026","$1,999,999","Colonial","","8,773","5","4","1","2","No","$22,544"
"1","26012590","S","6","RES","89 Surrey Lane","Tenafly","$1,806,000","07/22/2026","$1,450,000","Colonial","","7,501","4","2","2","","No","$20,543"
"1","26016910","S","18","RES","303 Rockland Avenue","River Vale","$1,800,000","07/17/2026","$1,749,000","Colonial","","21,976","5","3","1","2","Yes","$31,954"
"1","26015756","S","11","RES","407 Mark Lane","River Vale","$1,750,000","07/15/2026","$1,650,000","Colonial","","29,376","6","5","1","3","No","$21,061"
"1","26015617","S","17","RES","11 Raymond Street","Englewood Cliffs","$1,750,000","07/17/2026","$1,738,000","Split","","8,002","4","3","0","1","No","$9,087"
"1","26005352","S","52","RES","405 Valley Road","River Edge","$1,750,000","07/22/2026","$1,749,000","Colonial","","8,468","5","5","1","2","No","$13,564"
"1","26016670","S","34","RES","150 Howland Avenue","River Edge","$1,700,000","07/16/2026","$1,799,999","Colonial","","11,337","5","6","1","2","No","$16,066"
"1","26009202","S","7","RES","15 Clinton Street","Norwood","$1,700,000","07/24/2026","$1,720,000","Colonial","","22,477","4","3","1","2","Yes","$25,614"
"1","26028226","S","46","RES","60 Walsh Drive","Mahwah","$1,690,000","07/24/2026","$1,690,000","Colonial","","40,075","5","3","0","","Yes","$22,641"
"1","26011634","S","11","RES","110 Terbell Parkway","River Vale","$1,650,000","07/15/2026","$1,398,777","Colonial","","12,001","5","4","0","2","Yes","$26,903"
"1","26017697","S","13","RES","78 Pierson Avenue","Norwood","$1,605,000","07/24/2026","$1,485,000","Colonial","","40,502","5","2","1","2","No","$22,742"
"1","26007863","S","81","RES","45 Hickory Lane","Closter","$1,575,000","07/15/2026","$1,699,999","Colonial","","14,810","4","3","1","2","Yes","$19,787"
"1","26011031","S","61","RES","20 Ravine Avenue","Wyckoff","$1,565,000","07/24/2026","$1,565,000","Colonial","","22,568","4","3","1","2","No","$31,526"
"1","26017448","S","11","RES","403 Colonial Road","Ridgewood","$1,560,450","07/15/2026","$1,528,000","Colonial","","11,250","4","2","1","2","Yes","$21,802"
"1","26006296","S","26","RES","379 W Shore Drive","Wyckoff","$1,550,000","07/17/2026","$1,580,000","Ranch","","26,450","4","3","1","2","Yes","$19,242"
"1","26014056","S","30","RES","4 Leoson               Parkway","Old Tappan","$1,535,000","07/23/2026","$1,590,000","Colonial","","13,639","4","3","1","","No","$21,935"
"1","26013309","S","36","RES","15 Strawberry Hill Road","Hillsdale","$1,530,000","07/20/2026","$1,499,000","Split","","12,502","4","3","1","2","No","$10,000"
"1","26016922","S","10","RES","248 Wayfair Circle","Franklin Lakes","$1,518,000","07/23/2026","$1,499,999","Colonial","","40,075","4","3","1","2","Yes","$14,032"
"1","26019837","S","12","RES","508 Tether Lane","Paramus","$1,500,000","07/21/2026","$1,299,000","Colonial","","9,365","5","3","0","","No","$12,651"
"1","26017061","S","9","RES","65 Arcadia Court","Harrington Park","$1,500,000","07/17/2026","$1,478,000","Contemp","","3,466","5","4","0","2","No","$22,612"
"1","26017121","S","17","RES","12-65 Burbank Street","Fair Lawn","$1,477,003","07/16/2026","$1,450,000","Colonial","","9,374","5","4","0","2","No","$22,277"
"1","26012064","S","15","RES","309 South Drive","Paramus","$1,465,000","07/17/2026","$1,395,000","Colonial","","12,602","5","3","0","1","No","$16,322"
"1","26017689","S","13","RES","716 Windswept Lane","Franklin Lakes","$1,460,000","07/17/2026","$1,375,000","Colonial","","42,819","5","3","1","2","Yes","$15,430"
"1","26028334","S","126","RES","4 Katharina Place","Township of Washington","$1,450,000","07/22/2026","$1,475,000","Colonial","","22,399","5","2","2","","Yes","$23,012"
"1","26018590","S","8","RES","24 Fox Hollow Road","Ramsey","$1,450,000","07/17/2026","$1,399,999","Colonial","","13,983","5","2","1","","No","$24,430"
"1","26013749","S","12","RES","160 Lozier Terrace","River Edge","$1,450,000","07/24/2026","$1,389,000","Colonial","","7,501","5","3","1","2","Yes","$23,675"
"1","26007523","S","12","RES","792 Washburn Street","Teaneck","$1,450,000","07/15/2026","$1,400,000","Split","","7,200","5","3","1","1","No","$21,290"
"1","26019382","S","12","RES","711 Pine Lake Drive","Township of Washington","$1,430,000","07/24/2026","$1,398,000","Split","","26,389","5","3","1","2","No","$22,512"
"1","26020524","S","9","RES","34 Hillside Avenue","Glen Rock","$1,410,000","07/23/2026","$1,195,000","Colonial","","14,959","4","3","0","2","No","$22,230"
"1","26017605","S","5","RES","442 New York Avenue","Wyckoff","$1,408,000","07/16/2026","$1,190,000","Colonial","","28,863","4","2","1","2","Yes","$16,243"
"1","26011355","S","10","RES","164 Island Avenue","Ramsey","$1,403,000","07/16/2026","$1,275,000","Colonial","","18,731","5","2","1","2","No","$18,290"
"1","26017199","S","9","RES","445 Fairfield Avenue","Ridgewood","$1,401,000","07/20/2026","$1,100,000","Colonial","","6,316","4","2","0","1","No","$16,571"
"1","26016188","S","5","RES","408 Bergen Boulevard","Oradell","$1,400,000","07/24/2026","$1,025,000","Colonial","","11,252","4","2","1","","No","$17,300"
"1","26001530","S","24","RES","60 North Street","Elmwood Park","$1,400,000","07/24/2026","$1,498,000","Contemp","","21,201","5","4","0","2","Yes","$23,252"
"1","26027489","S","80","RES","109 Barrett Lane","Wyckoff","$1,390,000","07/15/2026","$1,390,000","Colonial","","24,999","4","2","1","","Yes","$16,301"
"1","26017823","S","11","RES","22 Wagon Trail","Mahwah","$1,380,000","07/15/2026","$1,250,000","Colonial","","","4","2","1","2","No","$14,994"
"1","26012755","S","11","RES","130 Irving Street","Leonia","$1,380,000","07/15/2026","$1,399,000","Colonial","","8,102","5","3","1","2","No","$26,024"
"1","26018092","S","10","RES","887 Linden Avenue","Ridgefield","$1,375,000","07/22/2026","$1,375,000","Colonial","","5,001","4","4","1","1","No","$0"
"1","26014859","S","13","RES","459 Ellis Place","Wyckoff","$1,375,000","07/16/2026","$1,270,000","Split","","24,999","4","2","1","2","Yes","$13,720"
"1","26014644","S","10","RES","433 Piermont Road","Cresskill","$1,375,000","07/17/2026","$1,349,995","Split","","30,871","5","2","1","2","No","$17,854"
"1","26020402","S","16","RES","9 Lyncrest Drive","Paramus","$1,360,000","07/23/2026","$1,100,000","Colonial","","30,056","5","3","1","2","Yes","$15,997"
"1","26007908","S","62","RES","240 Ottowa Lane","Franklin Lakes","$1,360,000","07/17/2026","$1,350,000","Colonial","","56,410","6","3","1","0","Yes","$19,993"
"1","25043788","S","17","RES","63 Danebury Downs","Upper Saddle River","$1,360,000","07/15/2026","$1,325,000","Ranch","","47,916","4","3","0","4","No","$14,819"
"1","26015137","S","49","RES","229 Sutton Place","New Milford","$1,350,000","07/24/2026","$1,379,999","Colonial","","7,856","5","3","2","1","No","$0"
"1","26017335","S","7","RES","523 Ewing Avenue","Franklin Lakes","$1,349,000","07/24/2026","$1,349,000","Colonial","","28,314","5","3","1","2","No","$11,424"
"1","26019756","S","7","RES","402 Enos Place","Ho-Ho-Kus","$1,325,000","07/20/2026","$1,199,999","Colonial","","11,901","4","2","1","2","No","$16,116"
"1","26015350","S","10","RES","333 Bogert Avenue","Ridgewood","$1,316,250","07/20/2026","$1,125,000","Colonial","","10,498","4","2","1","1","No","$15,701"
"1","26004305","S","114","RES","27 Knickerbocker        Road","Closter","$1,315,000","07/17/2026","$1,300,000","Colonial","","9,291","4","3","0","","No","$11,485"
"1","26015857","S","10","RES","557 Taunton Road","Wyckoff","$1,310,000","07/21/2026","$1,000,000","Cape Cod","","24,999","5","3","1","2","No","$18,987"
"1","26016795","S","13","RES","7 Keith Place","Glen Rock","$1,308,000","07/21/2026","$1,199,000","Split","","11,731","4","3","1","2","No","$18,620"
"1","26019624","S","8","RES","670 Swathmore Lane","Paramus","$1,300,000","07/16/2026","$1,299,999","Split","","17,808","4","3","1","1","Yes","$16,015"
"1","26017278","S","12","RES","1027 Westwood Avenue","Old Tappan","$1,300,000","07/22/2026","$1,100,000","Ranch","","44,997","3","1","1","4","No","$14,418"
"1","26013323","S","5","RES","586 Sparrowbush Road","Wyckoff","$1,300,000","07/24/2026","$1,200,000","Ranch","","29,699","3","2","1","2","No","$16,621"
"1","26008107","S","71","RES","21 Meadow Street","Demarest","$1,298,000","07/15/2026","$1,298,000","Colonial","","11,543","5","3","1","2","No","$20,838"
"1","26017099","S","8","RES","7 Ellsworth Terrace","Montvale","$1,289,000","07/17/2026","$1,289,000","Colonial","","38,747","4","2","1","2","No","$16,825"
"1","26015516","S","11","RES","1013 Boulevard","New Milford","$1,285,000","07/16/2026","$1,284,999","Colonial","","8,419","4","4","0","","No","$16,751"
"1","26018818","S","20","RES","137 Platt Avenue","Saddle Brook","$1,258,000","07/20/2026","$1,185,000","Colonial","","5,580","4","3","0","1","No","$7,961"
"1","26016462","S","11","RES","40 Plymouth Road","Hillsdale","$1,250,000","07/24/2026","$1,050,000","Ranch","","17,137","4","3","0","2","No","$17,103"
"1","26016458","S","13","RES","46 Kenmore Place","Glen Rock","$1,250,000","07/16/2026","$799,000","Cape Cod","","12,528","4","2","0","1","No","$17,184"
"1","26018582","S","15","RES","400 Faletti Circle","River Vale","$1,210,000","07/15/2026","$1,149,900","Split","","16,518","4","2","1","","Yes","$18,206"
"1","26014634","S","11","RES","60 Oak Avenue","Tenafly","$1,200,000","07/16/2026","$1,085,000","Colonial","","7,501","4","2","1","","No","$17,612"
"1","26011906","S","17","RES","8 Prescott Road","Ho-Ho-Kus","$1,200,000","07/17/2026","$1,199,000","Ranch","","10,932","3","3","1","1","Yes","$12,983"
"1","26005806","S","88","RES","760 Undercliff          ","Edgewater","$1,200,000","07/24/2026","$1,490,000","RowH","","","4","3","1","1","No","$20,908"
"1","26020237","S","24","RES","13 Dogwood Court","Paramus","$1,175,000","07/24/2026","$1,175,000","Split","","9,622","4","2","1","","No","$14,076"
"1","26020404","S","11","RES","164 Gordon Court","Oradell","$1,165,088","07/24/2026","$898,000","Split","","10,402","3","2","1","2","No","$17,113"
"1","26017951","S","10","RES","151 Walthery Avenue","Ridgewood","$1,160,000","07/15/2026","$949,000","Colonial","","7,536","3","1","0","1","No","$13,147"
"1","26005427","S","111","RES","138 Chestnut Ridge Road","Saddle River","$1,160,000","07/15/2026","$1,149,000","Colonial","","13,068","4","2","1","2","No","$6,186"
"1","26019715","S","15","RES","110 Platt Avenue","Saddle Brook","$1,137,500","07/23/2026","$1,159,888","Colonial","","6,299","5","3","0","","No","$10,000"
"1","26017664","S","11","RES","200 Hillside Avenue","River Edge","$1,130,000","07/17/2026","$1,200,000","Colonial","","10,102","4","2","1","1","No","$18,002"
"1","26022541","S","9","RES","133 Oweno Road","Mahwah","$1,110,000","07/22/2026","$949,900","Colonial","","10,829","4","2","1","2","Yes","$12,922"
"1","26018535","S","12","RES","7 Willow Brook Road","Hillsdale","$1,100,000","07/24/2026","$879,000","Split","","15,250","4","2","1","2","No","$16,850"
"1","26015385","S","37","RES","448 Fern Avenue","Lyndhurst","$1,089,000","07/24/2026","$1,089,000","Contemp","","3,642","5","3","0","1","No","$9,854"
"1","25028341","S","60","RES","275 Taft Court","Paramus","$1,085,000","07/16/2026","$1,200,000","Colonial","","","4","2","1","2","No","$12,102"
