"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths","Garage Spaces","Pool YN","Tax Annual Amount"
"1","26018880","S","21","RES","26-02 Urban               ","Fair Lawn","$1,249,999","07/31/2026","$1,249,999","Colonial","","","5","3","1","","No","$9,789"
"1","26018764","S","14","RES","22 Kendrick Street","Paramus","$1,200,000","07/31/2026","$1,199,000","Colonial","","10,001","3","3","0","2","No","$12,266"
"1","26017642","S","6","RES","17 Wescott Street","Old Tappan","$1,200,000","07/31/2026","$950,000","BiLvl","","35,641","4","3","0","2","No","$16,485"
"1","26017219","S","12","RES","79 W Sheffield Street","Oakland","$1,200,000","07/30/2026","$999,000","BiLvl","","15,420","4","2","1","","Yes","$14,895"
"1","26019928","S","8","RES","177 Truman Terrace","Paramus","$1,150,000","07/28/2026","$1,150,000","BiLvl","","12,541","4","3","0","2","No","$11,461"
"1","26019474","S","13","RES","116 Kenilworth Road","Ridgewood","$1,130,000","07/31/2026","$900,000","Colonial","","7,550","4","1","1","","No","$13,866"
"1","26023016","S","18","RES","26 George Street","Allendale","$1,126,500","07/31/2026","$895,000","Colonial","","6,011","3","2","1","1","No","$13,912"
"1","26015735","S","36","RES","319 James Way","Wyckoff","$1,115,000","07/27/2026","$1,175,000","Split","","29,751","3","3","0","2","No","$14,000"
"1","26018158","S","7","RES","469 White Birch Drive","River Vale","$1,105,000","07/30/2026","$935,000","Split","","30,239","4","2","1","2","No","$14,739"
"1","26020290","S","17","RES","249 Hillside            ","Leonia","$1,100,000","07/29/2026","$1,049,000","Contemp","","4,138","5","3","1","","No","$11,032"
"1","26019699","S","12","RES","30 Birch Street","Emerson","$1,100,000","07/30/2026","$1,079,000","Cape Cod","","16,501","5","4","1","2","No","$18,738"
"1","26019500","S","12","RES","158 Vreeland Avenue","Rutherford","$1,100,000","07/28/2026","$999,000","Colonial","","7,048","4","3","0","2","No","$16,320"
"1","26010109","S","81","RES","171 Pleasant             Avenue","Englewood","$1,100,000","07/30/2026","$1,100,000","Colonial","","5,750","3","2","1","2","No","$10,513"
"1","25025154","S","8","RES","11 Michael Street","Woodcliff Lake","$1,100,000","07/27/2026","$1,000,000","BiLvl","","20,020","4","3","0","2","No","$15,560"
"1","26020849","S","11","RES","92 Blanch               Avenue","Closter","$1,075,000","07/29/2026","$1,099,000","Split","","17,424","4","2","0","1","No","$15,641"
"1","26017734","S","18","RES","34 Eastbrook Drive","River Edge","$1,030,000","07/31/2026","$869,000","Split","","7,501","4","2","0","1","No","$14,950"
"1","26007053","S","36","RES","274 Seton Hall Drive","Paramus","$1,025,009","07/30/2026","$999,999","BiLvl","","13,861","5","3","0","2","No","$13,102"
"1","26022113","S","13","RES","15 Congress Road","Emerson","$1,010,000","07/31/2026","$874,000","Ranch","","13,765","3","4","1","2","No","$19,671"
"1","26021732","S","11","RES","38 Hillside Avenue","Emerson","$999,999","07/31/2026","$969,999","Colonial","","12,001","5","2","1","2","No","$15,632"
"1","26018097","S","16","RES","1631 Maple Street","Fort Lee","$999,999","07/27/2026","$949,000","Colonial","","5,001","3","2","1","1","No","$10,363"
"1","26017777","S","33","RES","556 Princeton Street","New Milford","$999,999","07/31/2026","$949,995","Split","","8,132","5","3","1","2","No","$14,500"
"1","26005672","S","17","RES","19 Linwood Avenue","Midland Park","$999,999","07/31/2026","$989,000","Cape Cod","","10,001","4","3","0","","No","$14,518"
"1","26019784","S","19","RES","1095 Harvard Place","Fort Lee","$999,000","07/31/2026","$974,900","Colonial","","5,001","3","2","1","1","No","$12,123"
"1","26002788","S","8","RES","121 Goodwin Terrace","Westwood","$999,000","07/30/2026","$849,000","Colonial","","9,374","4","2","1","1","No","$16,210"
"1","25040214","S","17","RES","7 Madison Heights","Wyckoff","$999,000","07/28/2026","$949,000","Cape Cod","","22,703","4","2","0","2","No","$13,801"
"1","26018684","S","31","RES","226 Mulberry Place","Ridgewood","$998,000","07/29/2026","$1,050,000","BiLvl","","14,723","4","3","0","2","No","$13,332"
"1","26016835","S","26","RES","66 Roehrs Drive","Wallington","$981,000","07/27/2026","$899,000","BiLvl","","6,752","5","4","0","","No","$15,726"
"1","26029674","S","85","RES","40-12 Ackerman Drive","Fair Lawn","$975,000","07/31/2026","$940,000","Split","","7,501","4","2","1","","No","$17,470"
"1","26012368","S","37","RES","295 Rock Road","Glen Rock","$975,000","07/31/2026","$1,099,000","Colonial","","18,000","5","2","1","2","No","$22,657"
"1","26022835","S","9","RES","327 Hil Ray Avenue","Wyckoff","$960,000","07/30/2026","$900,000","Ranch","","18,748","3","3","0","2","No","$12,551"
"1","26023983","S","18","RES","799 Millbrook Road","River Edge","$950,000","07/30/2026","$925,000","Split","","7,501","3","3","0","1","No","$15,103"
"1","26012205","S","89","RES","442 Marlboro Road","Englewood","$950,000","07/31/2026","$950,000","BiLvl","","21,950","4","4","1","2","No","$14,927"
"1","26013605","S","6","RES","581 Northumberland Road","Teaneck","$935,000","07/31/2026","$899,000","Colonial","","6,242","4","2","1","0","No","$16,383"
"1","26020451","S","11","RES","151 Field Avenue","Hasbrouck Heights","$929,099","07/31/2026","$899,000","Colonial","","5,998","5","3","1","","No","$17,800"
"1","26015084","S","71","RES","586 Hillside             Street","Ridgefield","$920,000","07/28/2026","$888,000","Colonial","","","4","4","0","","No","$12,988"
"1","26015784","S","9","RES","109 Malcolm              Road","Mahwah","$917,000","07/30/2026","$917,000","BiLvl","","20,800","4","2","1","2","No","$10,031"
"1","26013510","S","14","RES","24 N Crest Drive","Cresskill","$910,000","07/27/2026","$799,000","Cape Cod","","6,299","4","2","0","1","No","$11,277"
"1","26028344","S","1","RES","351 Schraalenburgh Road","Haworth","$900,000","07/30/2026","$900,000","Ranch","","11,330","4","3","0","","Yes","$14,286"
"1","26020616","S","13","RES","95 Spruce Street","Midland Park","$900,000","07/30/2026","$799,000","Colonial","","5,998","4","2","1","1","No","$15,998"
"1","26020061","S","19","RES","320 Jordan Road","New Milford","$900,000","07/27/2026","$825,000","Colonial","","8,773","5","3","0","1","Yes","$16,936"
"1","26018852","S","22","RES","48 Rutgers              Street","Closter","$900,000","07/27/2026","$899,000","Split","","","3","1","0","1","No","$14,831"
"1","26008961","S","58","RES","402 Riverview Avenue","North Arlington","$900,000","07/27/2026","$879,900","Colonial","","5,201","4","3","1","1","No","$8,955"
"1","26017525","S","13","RES","39-22 Vanore Drive","Fair Lawn","$895,000","07/27/2026","$769,000","Cape Cod","","8,586","4","2","1","1","No","$11,828"
"1","26011405","S","11","RES","283 Taft Road","River Edge","$870,000","07/26/2026","$799,000","Ranch","","7,501","3","2","0","1","No","$13,799"
"1","26019710","S","10","RES","566 Barnett Place","Ridgewood","$865,000","07/27/2026","$749,000","Colonial","","7,492","3","2","0","1","No","$11,629"
"1","26015210","S","10","RES","50 2nd Street","Park Ridge","$850,730","07/31/2026","$749,000","Colonial","","22,142","3","2","0","","No","$13,569"
"1","26018721","S","23","RES","50 E Grand Avenue","Montvale","$850,000","07/27/2026","$839,000","Colonial","","19,976","4","2","1","3","No","$10,810"
"1","26016490","S","20","RES","291 S Chestnut Street","Township of Washington","$850,000","07/29/2026","$749,000","Split","","10,001","3","1","1","1","No","$11,910"
"1","26022638","S","5","RES","322 Scharer Avenue","Northvale","$845,000","07/29/2026","$799,000","Split","","9,200","3","2","0","1","No","$11,878"
"1","26014161","S","18","RES","260 Glen Avenue","Midland Park","$830,000","07/28/2026","$775,000","Colonial","","26,162","3","3","0","5","Yes","$18,687"
"1","26014071","S","34","RES","370 Demarest Avenue","Oradell","$830,000","07/30/2026","$824,999","Colonial","","6,164","3","2","1","0","Yes","$12,253"
"1","26008614","S","12","RES","420 Park Avenue","Midland Park","$825,000","07/30/2026","$750,000","Split","","14,336","4","2","1","1","No","$12,091"
"1","26005935","S","17","RES","18-00 Scialla Court","Fair Lawn","$825,000","07/30/2026","$799,999","Split","","8,416","4","2","1","1","No","$11,850"
"1","26018597","S","16","RES","525 S Maple Avenue","Glen Rock","$815,000","07/28/2026","$829,000","Colonial","","10,498","4","2","0","","No","$16,265"
"1","26021708","S","26","RES","228 Shaw Place","Park Ridge","$803,000","07/31/2026","$790,000","BiLvl","","10,202","4","3","0","2","No","$16,781"
"1","26022095","S","6","RES","19 Long                 Avenue","Mahwah","$785,000","07/29/2026","$679,000","Cape Cod","","","3","2","1","2","No","$7,298"
"1","26019109","S","20","RES","333 Henry Street","Hasbrouck Heights","$785,000","07/31/2026","$799,000","Colonial","","9,374","3","2","1","1","No","$13,981"
"1","26022869","S","10","RES","480 Baxter Avenue","Wyckoff","$780,000","07/31/2026","$699,000","Ranch","","7,501","3","1","1","1","No","$9,725"
"1","26013976","S","10","RES","20 Remington Road","Fair Lawn","$770,000","07/29/2026","$639,000","Cape Cod","","5,998","3","2","0","","Yes","$11,528"
"1","26016663","S","13","RES","11-01 1st Street","Fair Lawn","$760,000","07/30/2026","$729,000","Cape Cod","","5,001","6","2","0","1","No","$14,640"
"1","26019230","S","14","RES","353 Page Avenue","Lyndhurst","$755,000","07/27/2026","$749,000","Colonial","","5,388","4","2","1","","No","$11,158"
"1","26019176","S","14","RES","165 Busteed Drive","Midland Park","$750,000","07/27/2026","$775,000","Split","","8,102","3","1","1","1","No","$16,105"
"1","26017973","S","18","RES","806 Ramapo Valley Road","Oakland","$750,000","07/28/2026","$699,900","Cape Cod","","18,644","3","2","0","1","No","$11,772"
"1","26017196","S","31","RES","690 Garden Street","Maywood","$739,500","07/31/2026","$725,000","Colonial","","5,602","3","2","1","","No","$11,995"
"1","26014611","S","31","RES","32 Addison Place","Ramsey","$739,000","07/29/2026","$739,000","BiLvl","","20,125","4","2","1","2","No","$13,346"
"1","26020468","S","12","RES","12-59 Edward Street","Fair Lawn","$735,000","07/27/2026","$659,000","Cape Cod","","5,184","4","1","1","0","No","$10,723"
"1","26017628","S","25","RES","144 Lake Street","Englewood","$720,000","07/28/2026","$659,000","Colonial","","6,251","3","2","1","1","Yes","$11,307"
"1","26020325","S","11","RES","11 Monnett Street","Little Ferry","$715,000","07/30/2026","$649,999","BiLvl","","8,080","4","1","1","1","No","$11,780"
"1","26016022","S","52","RES","724 3rd Street","Lyndhurst","$709,000","07/31/2026","$709,000","Colonial","","6,451","3","2","0","2","No","$10,566"
"1","26018538","S","18","RES","45 W Oldis Street","Rochelle Park","$705,000","07/30/2026","$665,900","Cape Cod","","5,001","3","3","0","1","No","$9,239"
"1","26019099","S","17","RES","87 Barbara Road","Dumont","$700,000","07/28/2026","$699,900","Split","","9,749","3","1","1","1","No","$13,919"
"1","26018359","S","12","RES","20 Dojean Court","Bergenfield","$700,000","07/28/2026","$650,000","Cape Cod","","8,255","3","2","0","1","No","$10,997"
"1","26029182","S","127","RES","33 Orchard Avenue","Emerson","$695,000","07/30/2026","$650,000","Colonial","","6,251","3","1","1","1","No","$11,320"
"1","26012889","S","28","RES","68 Ilford Avenue","North Arlington","$690,000","07/30/2026","$650,000","Colonial","","5,001","3","2","0","1","No","$11,920"
"1","26020655","S","11","RES","633 Lake Avenue","Lyndhurst","$685,000","07/30/2026","$650,000","Colonial","","5,040","3","2","0","","No","$10,083"
"1","26018663","S","16","RES","73 Davis Drive","Bergenfield","$683,000","07/27/2026","$630,000","Cape Cod","","6,299","4","3","0","","No","$12,417"
"1","26020211","S","13","RES","11 Hansen Street","Lodi","$681,000","07/31/2026","$599,000","Ranch","","5,227","3","2","0","","Yes","$9,483"
"1","26017310","S","15","RES","12-19 Rosewood Street","Fair Lawn","$680,000","07/30/2026","$589,000","Cape Cod","","3,999","4","2","1","1","No","$10,115"
"1","26022371","S","30","RES","71 Wyandotte Avenue","Dumont","$669,000","07/30/2026","$669,000","Ranch","","5,502","4","2","0","2","No","$12,491"
"1","26017569","S","60","RES","186 Oakwood Avenue","Cliffside Park","$665,000","07/30/2026","$678,000","Colonial","","2,775","4","3","0","0","No","$7,688"
"1","26014616","S","30","RES","830 Soldier Hill Road","Emerson","$665,000","07/29/2026","$629,000","Colonial","","13,599","3","1","1","","No","$11,765"
"1","26020656","S","18","RES","15-03 Everett Terrace","Fair Lawn","$660,000","07/31/2026","$659,000","Ranch","","10,790","3","1","1","0","No","$11,012"
"1","26017915","S","11","RES","9 Pine Street","Midland Park","$660,000","07/31/2026","$555,000","Cape Cod","","7,148","3","2","0","0","No","$9,751"
"1","26015633","S","11","RES","365 Marvin Avenue","Hackensack","$660,000","07/29/2026","$599,000","Cape Cod","","5,245","3","1","1","1","No","$11,247"
"1","26012103","S","24","RES","37-17 Jasper Road","Fair Lawn","$660,000","07/31/2026","$659,900","Cape Cod","","6,826","4","1","0","4","No","$10,086"
"1","26022626","S","7","RES","8 West Street","North Arlington","$650,000","07/31/2026","$524,999","Ranch","","4,408","3","1","0","1","No","$8,640"
"1","26021030","S","11","RES","1134 Julia Street","Teaneck","$650,000","07/29/2026","$599,000","Colonial","","5,950","3","1","1","","No","$10,743"
