"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths","Garage Spaces","Pool YN","Tax Annual Amount"
"1","26014183","S","56","RES","351 Lewelen Circle","Englewood","$7,000,000","07/09/2026","$7,888,000","Colonial","","37,897","9","9","3","3","Yes","$61,435"
"1","26002719","S","45","RES","21 Hastings Drive","Tenafly","$6,650,000","07/01/2026","$6,800,000","Contemp","","41,219","7","8","2","3","Yes","$0"
"1","26002408","S","19","RES","48 Brook                Road","Upper Saddle River","$4,200,000","07/06/2026","$4,200,000","Colonial","","37,462","6","7","1","3","Yes","$0"
"1","26011159","S","9","RES","46 Park Street","Tenafly","$4,150,000","07/01/2026","$4,150,000","Colonial","","29,224","5","4","2","4","Yes","$55,488"
"1","26025615","S","140","RES","66 Everett Road","Demarest","$3,800,000","07/06/2026","$3,850,000","Colonial","","24,960","5","4","2","","No","$54,081"
"1","26007347","S","55","RES","7 Central Avenue","Demarest","$3,435,000","07/03/2026","$3,699,888","Colonial","","17,424","6","6","1","3","Yes","$0"
"1","26010548","S","31","RES","41 Sunset               Road","Demarest","$3,350,000","07/07/2026","$3,488,800","Colonial","","36,590","6","6","1","3","Yes","$55,164"
"1","26010467","S","31","RES","780 Frederick Court","Wyckoff","$3,350,000","07/13/2026","$3,495,000","Colonial","","25,265","6","7","1","3","No","$18,139"
"1","25035125","S","237","RES","312 Bolz                 Street","Englewood Cliffs","$3,100,000","07/07/2026","$3,349,000","Colonial","","8,925","6","6","0","3","No","$0"
"1","26011429","S","16","RES","45 Brook Way","Demarest","$3,000,000","07/01/2026","$2,998,000","Colonial","","15,682","7","5","0","3","No","$40,730"
"1","26010248","S","7","RES","227 Fairmount Road","Ridgewood","$3,000,000","07/14/2026","$2,995,000","Colonial","","19,994","5","4","1","2","No","$43,257"
"1","26007376","S","17","RES","388 Freemans Lane","Franklin Lakes","$2,950,000","07/07/2026","$2,950,000","Colonial","","40,075","5","5","0","3","No","$21,631"
"1","26016618","S","19","RES","317 Edstan Way","Paramus","$2,800,000","07/06/2026","$2,950,000","Colonial","","13,616","6","6","1","3","No","$0"
