"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths"
"1","26000538","S","11","CCT","28 Spring Wolf Trail","Franklin Lakes","$2,150,000","02/20/2026","$2,150,000","TWNHS","3,097","","3","4","1"
"1","26003327","S","3","CCT","2220 Mackay Avenue Unit#B","Fort Lee","$2,100,000","02/09/2026","$2,249,000","Condo","5,500","","5","6","1"
"1","25043190","S","2","CCT","2445 E Camner               Street","Fort Lee","$1,569,000","02/05/2026","$1,569,000","Condo","3,750","","4","3","2"
"1","25042340","S","40","CCT","1512 Palisade Avenue Unit#7H","Fort Lee","$1,395,000","02/20/2026","$1,495,000","Condo","2,652","","3","3","0"
"1","25029192","S","76","CCT","746 Undercliff           Avenue Unit#A","Edgewater","$1,349,000","02/11/2026","$1,349,000","TWNHS","","","3","3","1"
"1","25041863","S","15","CCT","3 Cinnamon Drive","Upper Saddle River","$1,305,000","02/19/2026","$1,285,000","TWNHS","","","3","2","2"
"1","26000172","S","15","CCT","24 Marquis Court","Edgewater","$1,300,000","02/13/2026","$1,250,000","TWNHS","2,188","","3","2","1"
"1","25011531","S","174","CCT","23 Arden Place","Hillsdale","$1,295,000","02/17/2026","$1,295,000","Condo","","","3","2","1"
"1","25041979","S","37","CCT","164 Oakwood              Avenue","Cliffside Park","$1,256,250","02/27/2026","$1,225,000","TWNHS","","","3","3","1"
"1","25044170","S","49","CCT","227 Wayne Avenue Unit#227A","Cliffside Park","$1,210,000","02/19/2026","$1,229,000","TWNHS","","","3","3","2"
"1","25041346","S","40","CCT","460 Greenmount Avenue","Cliffside Park","$1,200,000","02/13/2026","$1,299,000","TWNHS","","","3","3","2"
"1","25040393","S","26","CCT","333 HIGHLAND Avenue Unit#A","Palisades Park","$1,180,000","02/09/2026","$1,230,000","TWNHS","","","4","4","0"
"1","25041412","S","54","CCT","12 Gabriel              Court Unit#12","Paramus","$1,079,000","02/12/2026","$1,079,000","TWNHS","","","3","2","2"
"1","25039918","S","55","CCT","114 White Pine           Unit#114","Paramus","$1,065,000","02/27/2026","$1,099,000","Condo","2,983","","3","3","1"
"1","25044186","S","26","CCT","20 Arlington Way","Oakland","$979,000","02/20/2026","$999,000","TWNHS","","","3","2","1"
"1","25034080","S","73","CCT","2180 South Street","Fort Lee","$978,000","02/10/2026","$989,000","Condo","2,500","","3","3","1"
