"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths"
"1","25042443","S","9","RES","12 Echo Ridge Road","Upper Saddle River","$4,800,000","02/11/2026","$4,950,000","Colonial","","37,462","6","6","1"
"1","25036277","S","95","RES","907 Scioto Drive","Franklin Lakes","$4,500,000","02/10/2026","$4,999,999","Colonial","","48,352","6","7","3"
"1","25043184","S","12","RES","582 Cresthaven Road","Wyckoff","$3,295,000","02/02/2026","$3,295,000","Colonial","","28,767","8","6","2"
"1","25020171","S","180","RES","591 Warwick Avenue","Teaneck","$2,997,000","02/05/2026","$3,295,000","Colonial","","14,440","9","8","1"
"1","25040211","S","16","RES","278 Crest Place","Franklin Lakes","$2,988,800","02/02/2026","$3,049,000","Colonial","","55,757","5","4","2"
"1","26000837","S","2","RES","278 Columbia Terrace","Paramus","$2,650,000","02/05/2026","$2,650,000","Contemp","","12,502","6","6","1"
"1","25040380","S","7","RES","740 Van Houten Avenue","Franklin Lakes","$2,400,000","02/11/2026","$2,299,000","Colonial","","48,961","5","5","1"
"1","25036971","S","76","RES","613 Knollwood Road","Franklin Lakes","$2,400,000","02/06/2026","$2,495,000","Colonial","","54,886","5","7","2"
"1","25040269","S","18","RES","11 Blackledge Court","Closter","$2,350,000","02/02/2026","$2,348,000","Colonial","","17,860","5","4","1"
"1","25044209","S","8","RES","327 Harristown Road","Glen Rock","$2,200,000","02/06/2026","$2,350,000","Colonial","","13,678","6","5","1"
"1","25015803","S","230","RES","1115 Buckingham           Road","Fort Lee","$2,200,000","02/02/2026","$2,450,000","Contemp","","8,999","5","4","1"
"1","25012665","S","98","RES","103 Macintyre Lane","Allendale","$2,100,000","02/11/2026","$2,225,000","Colonial","","52,011","5","4","2"
"1","25031323","S","99","RES","415 Bailey Road","Paramus","$1,770,000","02/10/2026","$1,799,999","Colonial","","10,076","6","4","2"
"1","25039170","S","85","RES","17 Deerhill Drive","Ho-Ho-Kus","$1,740,000","02/11/2026","$1,750,000","Ranch","","77,319","5","5","1"
"1","25031650","S","115","RES","55 Maiden Lane","Bergenfield","$1,600,000","02/10/2026","$1,699,000","Colonial","","5,201","5","4","1"
"1","25042169","S","18","RES","164 Deerhaven Road","Mahwah","$1,549,000","02/11/2026","$1,549,900","Colonial","","20,473","4","4","1"
