"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths"
"1","25015751","S","172","2to4","533 ROFF                 Avenue","Palisades Park","$1,460,000","02/09/2026","$1,500,000","2 Fam","","","7","5","0"
"1","25042103","S","14","2to4","144 Union Street","Ridgewood","$1,300,000","02/13/2026","$1,275,000","2 Fam","","9,845","6","3","0"
"1","25041981","S","24","2to4","79 Belmont Avenue","Garfield","$1,050,000","02/16/2026","$999,900","2 Fam","","","6","2","1"
"1","25041711","S","12","2to4","456 Morse Avenue","Ridgefield","$1,050,000","02/02/2026","$999,000","2 Fam","","7,501","6","4","0"
"1","25044102","S","4","2to4","1225 Inwood Terrace","Fort Lee","$999,999","02/13/2026","$989,000","2 Fam","","5,001","4","3","0"
"1","25038427","S","64","2to4","144 S Main Street","Lodi","$940,000","02/27/2026","$945,000","3 Fam","","2,801","6","3","1"
"1","25043592","S","5","2to4","69 Ross Avenue","Hackensack","$935,000","02/25/2026","$849,900","2 Fam","","11,252","6","2","0"
"1","25025793","S","127","2to4","325 Valley Brook Avenue","Lyndhurst","$917,000","02/05/2026","$945,000","2 Fam","","6,752","6","3","1"
"1","25038414","S","16","2to4","356 Westminster Place","Lodi","$880,000","02/20/2026","$799,999","2 Fam","","8,699","5","2","1"
"1","25044211","S","9","2to4","165 Pine Street","Hackensack","$875,000","02/27/2026","$895,000","2 Fam","","7,124","4","3","0"
"1","25042807","S","15","2to4","160 River Road","North Arlington","$865,000","02/17/2026","$874,999","2 Fam","","3,354","6","3","0"
"1","25032809","S","86","2to4","438 North Street","Teaneck","$865,000","02/06/2026","$999,000","3 Fam","","5,201","6","4","1"
"1","25042888","S","6","2to4","401 Stuyvesant Avenue","Lyndhurst","$850,000","02/06/2026","$815,000","2 Fam","","5,519","6","3","0"
"1","25034596","S","14","2to4","70 York Road","North Arlington","$850,000","02/18/2026","$725,000","2 Fam","","5,301","5","3","0"
"1","25042080","S","16","2to4","899 Maple Avenue","Ridgefield","$829,000","02/04/2026","$829,000","2 Fam","","5,702","5","2","0"
"1","25041600","S","23","2to4","55 Insley Avenue","Rutherford","$750,000","02/02/2026","$724,900","2 Fam","","5,001","3","2","0"
"1","25029835","S","22","2to4","53 Crystal Street","North Arlington","$749,000","02/05/2026","$749,000","2 Fam","","3,833","6","3","0"
"1","25035378","S","91","2to4","90 Dewitt Place","Hackensack","$690,000","02/17/2026","$720,000","2 Fam","","3,358","3","3","0"
"1","25042858","S","19","2to4","242 Main Avenue","Wallington","$675,000","02/19/2026","$641,000","2 Fam","","5,401","4","2","0"
"1","25039688","S","31","2to4","69 Kossuth Street","Wallington","$650,000","02/09/2026","$700,000","2 Fam","","5,053","4","3","0"
"1","25041821","S","14","2to4","10 Farnham Avenue","Garfield","$605,000","02/17/2026","$549,000","2 Fam","","2,100","4","2","0"
"1","25040796","S","22","2to4","410 Cliff Street","Fairview","$600,000","02/11/2026","$500,000","2 Fam","","2,500","5","2","1"
"1","25034147","S","91","2to4","83 Anderson Avenue","Wallington","$565,000","02/23/2026","$548,888","2 Fam","","2,483","3","2","0"
