"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths"
"1","25035788","S","20","RES","847 Apache Road","Franklin Lakes","$4,600,000","01/09/2026","$4,995,000","Colonial","","43,560","5","6","1"
"1","25008051","S","163","RES","16 Donnybrook Drive","Demarest","$4,200,000","01/06/2026","$4,500,000","Colonial","","22,477","6","6","1"
"1","25029502","S","123","RES","121 Churchill Road","Tenafly","$4,185,000","01/13/2026","$4,490,000","Colonial","","40,075","7","6","3"
"1","23027771","S","770","RES","320 Mountain Road","Englewood","$3,750,000","01/02/2026","$4,100,000","Colonial","12,453","130,244","11","7","2"
"1","25039121","S","4","RES","97 Prescott Street","Demarest","$3,330,000","01/06/2026","$3,499,000","Colonial","","15,987","6","6","1"
"1","25035450","S","14","RES","15 Blueberry Hill","Upper Saddle River","$2,995,000","01/09/2026","$2,995,000","Colonial","","37,462","5","6","2"
"1","26001351","S","427","RES","17 Cherry Street","Tenafly","$2,725,000","01/07/2026","$2,788,000","Colonial","","9,683","6","6","1"
"1","25039269","S","16","RES","22 Oakwood Road","Allendale","$2,605,000","01/15/2026","$2,395,000","Colonial","","39,988","4","4","2"
"1","25033548","S","31","RES","391 Harrison Street","Paramus","$2,600,000","01/06/2026","$2,675,000","Colonial","","","6","6","1"
"1","25036457","S","6","RES","64 Park Slope","Ridgewood","$2,575,000","01/06/2026","$2,095,000","Colonial","","17,511","6","3","1"
"1","25026638","S","30","RES","47 Heathcote Road","Glen Rock","$2,425,000","01/07/2026","$2,450,000","Colonial","","10,881","6","5","1"
"1","25030427","S","11","RES","247 Gregory Road","Franklin Lakes","$2,390,023","01/07/2026","$1,975,000","Colonial","","39,988","4","3","1"
"1","25032511","S","74","RES","187 Crest Drive","Paramus","$2,200,000","01/09/2026","$2,359,000","Colonial","","9,789","6","5","1"
"1","25037461","S","13","RES","57 George Street","Tenafly","$2,157,000","01/01/2026","$1,825,000","Colonial","","9,313","5","4","1"
"1","25040204","S","15","RES","53 Hamilton Place","Tenafly","$2,125,000","01/08/2026","$2,200,000","Colonial","","11,857","5","4","1"
"1","25032834","S","38","RES","275 Gregory Road","Franklin Lakes","$2,075,000","01/07/2026","$2,180,000","Colonial","","40,816","5","5","0"
"1","26001110","S","226","RES","253 Greve Drive","New Milford","$1,900,000","01/07/2026","$1,900,000","Colonial","","7,802","6","4","1"
"1","25034738","S","55","RES","405 Highview Road","Englewood","$1,800,000","01/12/2026","$1,950,000","Contemp","","35,000","4","4","0"
"1","25036829","S","61","RES","110 Radburn Road","Glen Rock","$1,750,000","01/09/2026","$1,849,000","Colonial","","10,572","5","5","1"
"1","25034563","S","58","RES","254 Concord Street","Cresskill","$1,725,000","01/15/2026","$1,775,000","Colonial","","9,300","5","3","1"
"1","25036108","S","21","RES","136 Stonehurst Drive","Tenafly","$1,700,000","01/05/2026","$1,698,000","Colonial","","26,240","6","3","1"
"1","25041459","S","13","RES","133 Oak Drive","Upper Saddle River","$1,650,000","01/15/2026","$1,499,000","Colonial","","37,462","4","4","0"
"1","25009132","S","151","RES","136 Chestnut Ridge Road","Saddle River","$1,650,000","01/07/2026","$1,895,000","Colonial","","55,321","3","3","2"
"1","25038360","S","17","RES","162 Elm Street","Tenafly","$1,550,000","01/13/2026","$1,350,000","Split","","11,199","4","3","1"
"1","25030031","S","54","RES","8 Clearwater Drive","Ho-Ho-Kus","$1,550,000","01/02/2026","$1,550,000","Ranch","","45,738","3","4","1"
"1","25032887","S","59","RES","11 Stevenson Lane","Upper Saddle River","$1,500,000","01/07/2026","$1,550,000","Split","","37,462","4","2","1"
"1","25028355","S","83","RES","30 Reiner Place","Englewood Cliffs","$1,498,888","01/05/2026","$1,688,888","BiLvl","","12,358","5","3","0"
"1","25033250","S","12","RES","20 Northwood            Avenue","Demarest","$1,465,000","01/09/2026","$1,299,888","Colonial","","14,520","4","3","2"
"1","26002313","S","65","RES","320 Lydecker Street","Englewood","$1,450,000","01/15/2026","$1,450,000","Colonial","","24,202","4","3","1"
"1","25037452","S","22","RES","5 Glengorra Court","Mahwah","$1,433,000","01/07/2026","$1,299,000","Colonial","","40,075","4","2","1"
"1","25036434","S","46","RES","2160 Jones Road","Fort Lee","$1,425,000","01/04/2026","$1,488,888","Contemp","","","3","3","1"
"1","25038737","S","10","RES","674 N Monroe Street","Ridgewood","$1,400,000","01/07/2026","$1,175,000","Colonial","","19,254","3","3","0"
"1","25018734","S","54","RES","50 Elizabeth Terrace","Upper Saddle River","$1,400,000","01/02/2026","$1,395,000","Ranch","","37,462","3","3","0"
"1","25033035","S","79","RES","39 Edgewood Avenue","Wyckoff","$1,375,000","01/06/2026","$1,399,900","Colonial","","28,305","5","3","2"
"1","25040121","S","7","RES","139 Kilmer Road","Mahwah","$1,370,000","01/05/2026","$1,299,000","Colonial","","23,087","4","2","1"
"1","25037829","S","7","RES","1093 Sheridan Street","New Milford","$1,363,000","01/12/2026","$999,000","BiLvl","","11,252","4","2","1"
"1","25039407","S","21","RES","265 Purdue Court","Paramus","$1,350,000","01/13/2026","$1,350,000","Colonial","","12,922","5","4","0"
"1","25040713","S","18","RES","295 Ferris Place","Ridgewood","$1,331,627","01/09/2026","$950,000","Colonial","","27,356","5","4","0"
"1","25020534","S","70","RES","36 Wildwood Road","Woodcliff Lake","$1,280,000","01/12/2026","$1,279,900","Colonial","","36,829","4","2","2"
"1","25042601","S","3","RES","91 Stewart Street","Demarest","$1,250,000","01/08/2026","$1,250,000","Split","","10,019","4","3","0"
"1","25039777","S","25","RES","2445 Cleveland Avenue","Township of Washington","$1,250,000","01/06/2026","$879,000","Ranch","","13,038","5","3","0"
"1","25036905","S","40","RES","212 Arbor Road","Franklin Lakes","$1,250,000","01/15/2026","$1,400,000","Colonial","","43,560","5","4","1"
"1","25026880","S","12","RES","472 Rock Road","Glen Rock","$1,250,000","01/07/2026","$939,000","Colonial","","10,433","4","2","2"
"1","25018202","S","39","RES","162 Split Rock Road","Paramus","$1,240,000","01/13/2026","$1,298,888","Colonial","","10,019","4","3","1"
"1","25038956","S","24","RES","277 Airmont Avenue","Mahwah","$1,235,000","01/12/2026","$1,179,000","Colonial","","20,251","4","3","0"
"1","25037869","S","11","RES","314 Ross Road","Paramus","$1,200,000","01/05/2026","$1,095,000","Colonial","","13,111","5","4","0"
"1","25035821","S","26","RES","418 Closter Dock Road","Closter","$1,175,000","01/09/2026","$1,199,000","Colonial","","10,019","3","3","1"
"1","25019177","S","124","RES","198 Pascack Road","Hillsdale","$1,150,000","01/12/2026","$1,249,000","Ranch","","20,543","3","3","0"
"1","25039124","S","9","RES","748 6th Street","Lyndhurst","$1,130,000","01/09/2026","$1,165,000","Colonial","","7,601","5","4","1"
"1","25030756","S","55","RES","23 Plymouth Drive","Upper Saddle River","$1,125,000","01/05/2026","$1,099,000","Ranch","","37,462","4","3","1"
"1","25035272","S","18","RES","232 Doremus Avenue","Ridgewood","$1,111,000","01/05/2026","$1,100,000","Colonial","","17,511","4","1","1"
"1","25041204","S","14","RES","61 Pomona Avenue","Fair Lawn","$1,075,000","01/13/2026","$1,099,999","Colonial","","6,599","5","3","0"
"1","25015976","S","154","RES","343 Demarest             Avenue","Closter","$1,071,000","01/15/2026","$1,150,000","Colonial","","10,952","4","2","0"
"1","25039702","S","33","RES","403 Summit Avenue","Hackensack","$999,999","01/09/2026","$1,075,000","Colonial","","15,002","3","3","1"
"1","25037958","S","13","RES","4-10 Morlot Avenue","Fair Lawn","$999,000","01/06/2026","$999,000","Colonial","","5,001","4","4","0"
"1","25031330","S","44","RES","21 Briarcliffe Road","Bergenfield","$975,000","01/05/2026","$999,000","Colonial","","5,001","5","3","1"
"1","25033485","S","9","RES","53 Smithfield Road","Waldwick","$970,000","01/08/2026","$869,000","Split","","15,141","4","3","0"
"1","26000643","S","43","RES","19 Engleside Street","Cresskill","$967,000","01/02/2026","$998,999","BiLvl","","9,374","4","2","1"
"1","25036395","S","19","RES","73 Addison Avenue","Rutherford","$960,000","01/12/2026","$850,000","Colonial","","9,100","5","1","1"
"1","25034481","S","13","RES","56 E Center               Street","Midland Park","$955,000","01/06/2026","$839,000","Colonial","","13,660","4","2","1"
"1","25027261","S","115","RES","181 Lakeview Avenue","Leonia","$955,000","01/08/2026","$999,999","Cape Cod","","9,374","4","3","0"
"1","25038064","S","46","RES","432 Innes Road","Wood Ridge","$954,000","01/14/2026","$958,888","Colonial","","5,001","4","3","1"
"1","25037229","S","12","RES","45 Center Street","Ramsey","$940,000","01/07/2026","$899,000","Colonial","","6,403","4","2","2"
"1","26001914","S","38","RES","223 Diane Place","Paramus","$925,000","01/07/2026","$925,000","Ranch","","12,634","3","2","0"
"1","25039505","S","24","RES","12 Spruce Street","Tenafly","$925,000","01/15/2026","$825,000","Colonial","","6,852","3","1","1"
"1","25034392","S","20","RES","318 Gilbert Street","Ridgewood","$925,000","01/06/2026","$739,900","Colonial","","8,233","3","1","1"
"1","25034843","S","100","RES","30 Humboldt Street","Wood Ridge","$905,000","01/08/2026","$949,000","Colonial","","5,001","4","2","2"
"1","26003258","S","64","RES","499 Saddle River Road","Ridgewood","$900,000","01/07/2026","$900,000","Colonial","","19,994","4","2","0"
"1","26002416","S","140","RES","77 Sussex Road","Tenafly","$900,000","01/15/2026","$900,000","Colonial","","10,001","3","3","1"
"1","25036323","S","8","RES","175 N Island Avenue","Ramsey","$890,000","01/14/2026","$759,900","Colonial","","25,178","4","2","1"
"1","25038348","S","14","RES","30 Homestead Street","Hillsdale","$880,000","01/08/2026","$799,000","Split","","20,800","3","2","0"
"1","25038005","S","24","RES","331 Ellen Place","Paramus","$880,000","01/07/2026","$869,900","Split","","9,570","3","1","1"
"1","25040935","S","12","RES","16 Hemlock Street","Waldwick","$870,000","01/09/2026","$795,000","Split","","10,001","3","2","0"
"1","25034157","S","42","RES","22 Beech Street","Hillsdale","$860,000","01/08/2026","$824,900","Colonial","","10,001","5","3","1"
"1","25034133","S","10","RES","244 Devon Road","Township of Washington","$860,000","01/13/2026","$778,000","Split","","10,498","3","2","0"
"1","25039864","S","9","RES","234 Spring Valley Road","Park Ridge","$850,000","01/06/2026","$729,000","Split","","12,001","3","2","0"
"1","25036684","S","4","RES","60 Edgewater Road","Cliffside Park","$834,000","01/09/2026","$888,000","Colonial","","6,451","3","2","0"
"1","25041078","S","15","RES","0-93 34th                 Street","Fair Lawn","$825,000","01/13/2026","$749,900","Cape Cod","","5,401","4","3","0"
"1","25028058","S","118","RES","1128 Edgewood Lane","Fort Lee","$815,000","01/14/2026","$879,900","Colonial","","5,001","4","1","0"
"1","25042334","S","23","RES","133 Arnot Place","Paramus","$810,000","01/13/2026","$799,000","Split","","9,396","3","1","1"
"1","25032846","S","52","RES","109 Franklin Turnpike","Ho-Ho-Kus","$810,000","01/06/2026","$749,000","Colonial","","24,185","4","2","0"
"1","25039270","S","8","RES","282 Schley Place","Teaneck","$800,000","01/08/2026","$749,000","Colonial","","5,001","4","2","0"
"1","25037315","S","13","RES","367 Orchard Terrace","Bogota","$800,000","01/08/2026","$749,999","Colonial","","7,501","4","2","1"
"1","25032473","S","11","RES","15-18 Everett Terrace","Fair Lawn","$800,000","01/05/2026","$769,000","Ranch","","8,773","4","2","2"
"1","25039893","S","9","RES","680 Mariann Place","Township of Washington","$790,000","01/12/2026","$729,900","Ranch","","12,898","3","2","0"
"1","25038282","S","17","RES","308 Haywood Drive","Paramus","$775,000","01/14/2026","$799,000","Ranch","","","2","1","1"
"1","25034616","S","37","RES","784 Austin Avenue","Oradell","$775,000","01/07/2026","$750,000","Cape Cod","","10,001","4","2","0"
"1","25035802","S","23","RES","448 Fern Avenue","Lyndhurst","$755,000","01/09/2026","$699,999","Contemp","","3,642","5","3","0"
"1","25039678","S","16","RES","357 Maywood Avenue","Maywood","$750,000","01/02/2026","$699,000","Colonial","","21,022","3","2","1"
"1","25038346","S","23","RES","13 Newell Place","North Arlington","$747,000","01/02/2026","$749,000","Colonial","","3,751","4","2","1"
