"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths"
"1","25013073","S","118","RES","45 Ackerman Road","Saddle River","$4,690,000","01/20/2026","$4,950,000","Colonial","","99,447","6","6","3"
"1","25036734","S","13","RES","265 West End             Avenue","Ridgewood","$4,325,000","01/16/2026","$4,195,000","Colonial","","30,928","5","5","1"
"1","25035317","S","75","RES","46 Locust Lane","Upper Saddle River","$4,000,000","01/16/2026","$3,995,000","Colonial","","40,511","7","6","1"
"1","25034805","S","62","RES","96 Bluff Road","Fort Lee","$3,725,000","01/20/2026","$3,899,000","Colonial","","29,142","6","4","2"
"1","25032956","S","11","RES","720 Morningside Road","Ridgewood","$2,800,000","01/20/2026","$2,395,000","Colonial","","17,729","4","3","1"
"1","25035673","S","20","RES","186 E Saddle River Road","Saddle River","$2,742,500","01/26/2026","$2,850,000","Colonial","","87,991","5","6","1"
"1","26003853","S","67","RES","20 N Pleasant             Avenue","Ridgewood","$2,600,000","01/27/2026","$2,500,000","Colonial","","","6","5","1"
"1","25034250","S","52","RES","67 Forest Road","Tenafly","$2,500,000","01/22/2026","$2,675,000","Contemp","","58,806","5","3","1"
"1","25019127","S","141","RES","12 Cortland Place","Cliffside Park","$2,493,000","01/16/2026","$2,649,000","Colonial","","","5","5","2"
"1","25026183","S","39","RES","565 N Forest Drive","Teaneck","$2,485,000","01/21/2026","$2,750,000","Colonial","","20,521","6","6","1"
"1","25018830","S","176","RES","16 Loman Court","Cresskill","$2,425,000","01/23/2026","$2,649,888","Colonial","","40,049","5","5","1"
"1","25036975","S","65","RES","5 Academy Road","Ho-Ho-Kus","$2,400,000","01/28/2026","$2,550,000","Colonial","","45,564","5","3","1"
"1","25029822","S","42","RES","476 Fairfield Road","Wyckoff","$2,275,000","01/16/2026","$2,350,000","Colonial","","25,513","5","5","1"
"1","26003364","S","210","RES","176 Copley Avenue","Teaneck","$2,225,000","01/27/2026","$2,275,000","Colonial","","13,552","8","5","1"
"1","25031247","S","30","RES","26 Sara Hill Lane","Englewood Cliffs","$2,200,000","01/30/2026","$2,200,000","Contemp","","7,224","5","4","1"
"1","25037104","S","36","RES","8 Oratam Road","Upper Saddle River","$1,950,000","01/16/2026","$1,859,900","Colonial","","37,462","4","4","1"
"1","25032246","S","83","RES","22 Old Smith           ","Tenafly","$1,925,000","01/28/2026","$1,950,000","Colonial","","53,700","4","3","1"
"1","25011781","S","129","RES","436 Piermont Road","Demarest","$1,775,000","01/21/2026","$1,799,000","Colonial","","20,038","5","5","0"
"1","26000635","S","8","RES","12 Hidden Glen Road","Upper Saddle River","$1,725,000","01/28/2026","$1,499,000","Ranch","","65,340","4","2","2"
"1","25040159","S","22","RES","10 Watch Hill           Road","Mahwah","$1,650,000","01/22/2026","$1,650,000","Colonial","","40,075","5","3","0"
"1","25030445","S","37","RES","20 Westervelt Avenue","Tenafly","$1,625,000","01/29/2026","$1,650,000","Colonial","","25,550","6","3","1"
"1","25039604","S","7","RES","21 Hunter Ridge","Woodcliff Lake","$1,595,000","01/16/2026","$1,595,000","Contemp","","30,100","5","6","1"
"1","25032302","S","27","RES","16 Highwood Terrace","Glen Rock","$1,580,000","01/22/2026","$1,499,000","Colonial","","7,501","4","3","0"
"1","25027037","S","73","RES","11 New Street","Cresskill","$1,531,000","01/20/2026","$1,580,000","Colonial","","10,001","4","4","0"
"1","25039980","S","32","RES","23 Halco Drive","Paramus","$1,525,000","01/16/2026","$1,595,000","Split","","21,094","4","3","3"
