"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths"
"1","25035147","S","2","CCT","1547 B 11th                 Unit#B","Fort Lee","$1,555,000","01/02/2026","$1,575,000","TWNHS","4,000","","4","3","2"
"1","25040716","S","21","CCT","32 Marquis Court","Edgewater","$1,525,000","01/23/2026","$1,379,000","TWNHS","2,540","","3","2","1"
"1","25042905","S","13","CCT","426 Aurora Avenue","Cliffside Park","$1,490,000","01/29/2026","$1,500,000","TWNHS","3,150","","4","4","1"
"1","25039915","S","36","CCT","4 Royal Birkdale      ","River Vale","$1,469,000","01/29/2026","$1,499,000","Co-op","","","3","3","0"
"1","25043631","S","28","CCT","8 Royal Birkdale      ","River Vale","$1,439,000","01/29/2026","$1,439,000","TWNHS","","","3","3","1"
"1","25036605","S","35","CCT","391 Undercliff           Avenue Unit#B","Edgewater","$1,435,000","01/23/2026","$1,488,000","TWNHS","","","3","3","1"
"1","25034891","S","35","CCT","3 Oakdene Terrace Unit#3","Edgewater","$1,325,000","01/02/2026","$1,375,000","TWNHS","4,150","","3","2","2"
"1","25042379","S","1","CCT","162 Oakwood              Avenue","Cliffside Park","$1,225,000","01/14/2026","$1,225,000","TWNHS","","","3","3","1"
"1","25020447","S","179","CCT","800 Palisade Avenue Unit#PH21A","Fort Lee","$1,200,000","01/05/2026","$1,275,000","Condo","3,048","","3","3","1"
"1","25039405","S","49","CCT","4 Goldfinch            Drive","Upper Saddle River","$1,180,000","01/15/2026","$1,199,999","TWNHS","3,055","","3","2","2"
"1","25023356","S","159","CCT","329 5th                  Street Unit#B","Palisades Park","$1,135,000","01/19/2026","$1,159,999","Condo","","","4","3","1"
"1","25042203","S","6","CCT","135 Abbott Avenue Unit#2","Palisades Park","$1,085,000","01/30/2026","$999,999","TWNHS","2,248","","4","3","1"
"1","25040969","S","10","CCT","1512 Palisade Avenue Unit#18K","Fort Lee","$1,040,000","01/06/2026","$1,039,000","Condo","1,638","","2","2","1"
"1","25030512","S","91","CCT","4 Lenape Lane Unit#805","Old Tappan","$999,000","01/15/2026","$1,150,000","TWNHS","3,300","","3","3","1"
"1","25040343","S","20","CCT","436D Bromley Place","Wyckoff","$970,000","01/05/2026","$999,000","Condo","2,954","","2","2","1"
"1","25038361","S","9","CCT","56 Peach Hill Court","Ramsey","$930,000","01/27/2026","$879,000","TWNHS","","","4","3","2"
"1","25037070","S","75","CCT","476 Lincoln Avenue Unit#2","Cliffside Park","$925,000","01/09/2026","$939,000","Condo","","","3","2","1"
"1","25039730","S","33","CCT","14 Mechanic             Street","Ramsey","$910,000","01/21/2026","$925,000","Condo","2,155","","3","2","2"
"1","25041846","S","7","CCT","7 Sandburg Court","Mahwah","$909,000","01/15/2026","$869,000","TWNHS","1,779","","3","2","1"
"1","25036027","S","17","CCT","1561 Anderson Avenue","Fort Lee","$870,000","01/20/2026","$850,000","TWNHS","2,232","","3","3","1"
"1","25038115","S","23","CCT","68 Wesmont              Drive","Wood Ridge","$860,000","01/14/2026","$849,000","TWNHS","1,935","","4","2","2"
"1","25032375","S","16","CCT","215 Beech Court Unit#T046","Norwood","$800,000","01/09/2026","$798,000","TWNHS","1,690","","2","2","1"
"1","25038950","S","7","CCT","307 Chase                Court","Edgewater","$770,000","01/28/2026","$748,000","TWNHS","1,769","","2","2","1"
"1","25039249","S","11","CCT","191 Yorktowne Court Unit#191B","Township of Washington","$760,000","01/05/2026","$749,000","TWNHS","1,885","","3","2","1"
"1","25037333","S","44","CCT","120 Wesmont              Drive","Wood Ridge","$718,000","01/20/2026","$729,000","TWNHS","1,771","","3","2","1"
"1","25037712","S","25","CCT","16 Arnold Drive Unit#5308","Wood Ridge","$710,000","01/22/2026","$678,500","TWNHS","","","2","3","0"
"1","25041777","S","19","CCT","200 Old Palisade Road Unit#18H","Fort Lee","$695,000","01/26/2026","$695,000","Condo","1,554","","2","2",""
