"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths"
"1","25041644","S","28","2to4","194 9th Street","Fairview","$1,960,000","11/21/2025","$1,960,000","2 Fam","","5,101","6","4","4"
"1","25000625","S","92","2to4","436 Brinkerhoff Avenue","Fort Lee","$1,538,000","11/21/2025","$1,580,000","2 Fam","","5,000","6","4","2"
"1","25029260","S","17","2to4","32 Hudson Terrace","Edgewater","$1,380,000","11/03/2025","$1,480,000","2 Fam","","","6","3","0"
"1","25029439","S","12","2to4","1227 Inwood Terrace","Fort Lee","$1,365,000","11/20/2025","$1,349,000","2 Fam","","5,001","7","5","0"
"1","25022869","S","84","2to4","249-251 Sanford              Avenue","Lyndhurst","$1,300,000","11/21/2025","$1,399,000","2 Fam","","","5","4","2"
"1","25009835","S","202","2to4","664 Day Avenue","Ridgefield","$1,210,000","11/26/2025","$1,279,000","2 Fam","","5,001","6","5","0"
"1","25035416","S","26","2to4","43 Kaufman Avenue","Little Ferry","$1,150,000","11/25/2025","$1,099,000","2 Fam","","11,475","6","3","0"
"1","25022573","S","12","2to4","424 Page Avenue","Lyndhurst","$1,150,000","11/04/2025","$1,099,000","2 Fam","","4,800","6","5","0"
"1","25025481","S","73","2to4","424 Myrtle Avenue","Fort Lee","$1,101,000","11/25/2025","$1,400,000","2 Fam","","5,998","6","5","0"
"1","25026021","S","80","2to4","123 Pearl Street","Dumont","$1,095,000","11/27/2025","$1,095,000","2 Fam","","8,529","6","3","0"
"1","25026746","S","52","2to4","767 Clark Avenue","Ridgefield","$1,020,000","11/17/2025","$975,000","2 Fam","","5,001","6","4","0"
"1","25025500","S","73","2to4","422 Myrtle Avenue","Fort Lee","$999,000","11/25/2025","$1,300,000","2 Fam","","3,999","4","2","2"
"1","25028796","S","16","2to4","184 Albert Street","North Arlington","$995,500","11/11/2025","$995,500","2 Fam","","4,134","5","4","0"
"1","25040574","S","46","2to4","52 Elizabeth Street","Garfield","$970,000","11/07/2025","$970,000","2 Fam","","4,304","6","3","1"
"1","25024080","S","48","2to4","418 Stuyvesant Avenue","Lyndhurst","$952,000","11/07/2025","$929,999","2 Fam","","7,436","6","2","0"
"1","25033445","S","15","2to4","11 Cottage             ","Upper Saddle River","$940,000","11/20/2025","$875,000","2 Fam","","14,374","4","2","0"
"1","25031074","S","14","2to4","28 Niehaus              Avenue","Little Ferry","$940,000","11/19/2025","$899,000","2 Fam","","","6","4","0"
"1","25031862","S","41","2to4","184 High Street","Hackensack","$938,000","11/21/2025","$949,999","3 Fam","","5,001","6","3","0"
"1","25034998","S","12","2to4","152 Williams Avenue","Hasbrouck Heights","$930,500","11/17/2025","$799,000","2 Fam","","6,251","5","3","1"
"1","25029332","S","31","2to4","237 Kingsland Avenue","Lyndhurst","$920,000","11/17/2025","$949,900","2 Fam","","4,640","5","2","0"
"1","25032957","S","19","2to4","341 Westervelt Place","Lodi","$870,000","11/14/2025","$750,000","2 Fam","","","5","3","0"
"1","25032875","S","9","2to4","1-3 Obal Avenue","Elmwood Park","$865,000","11/07/2025","$799,000","2 Fam","","8,530","5","2","0"
"1","25034641","S","12","2to4","98 John Place","Bergenfield","$860,000","11/07/2025","$850,000","2 Fam","","6,177","5","3","0"
"1","25022122","S","45","2to4","92 Maple Avenue","Wallington","$855,000","11/19/2025","$789,000","2 Fam","","3,354","5","3","0"
"1","25024596","S","54","2to4","25 Poplar Avenue","Little Ferry","$835,000","11/25/2025","$819,000","2 Fam","","7,575","6","3","0"
"1","25016115","S","77","2to4","10 Orchard Street","Elmwood Park","$835,000","11/19/2025","$929,000","3 Fam","","","7","3","0"
