"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths"
"1","25018398","S","21","CCT","511 Bellaire Drive","Demarest","$2,400,000","11/07/2025","$2,425,000","TWNHS","6,000","","4","4","2"
"1","24034561","S","8","CCT","10 Royal Birkdale Lane","River Vale","$1,928,822","11/05/2025","$1,597,545","TWNHS","","","3","4","1"
"1","24034563","S","131","CCT","12 Royal Birkdale Lane","River Vale","$1,752,361","11/05/2025","$1,661,545","TWNHS","","","3","3","1"
"1","25034416","S","38","CCT","1178 14th                ","Fort Lee","$1,700,000","11/04/2025","$1,698,800","TWNHS","","","3","5","1"
"1","25029311","S","58","CCT","21 B Sterling             Place","Edgewater","$1,670,000","11/10/2025","$1,649,000","TWNHS","3,100","","4","3","2"
"1","24034686","S","8","CCT","99 Woodmont Circle","River Vale","$1,603,946","11/04/2025","$1,510,895","TWNHS","","","3","4","1"
"1","25025743","S","32","CCT","135 Old Palisade Road Unit#B","Fort Lee","$1,550,000","11/18/2025","$1,549,999","TWNHS","","","3","3","2"
"1","25020686","S","162","CCT","13 Royal Birkdale       Court","River Vale","$1,524,000","11/26/2025","$1,629,933","TWNHS","2,624","","3","3","1"
"1","25030872","S","54","CCT","1406 14th Street","Fort Lee","$1,450,000","11/18/2025","$1,498,888","TWNHS","3,306","","3","3","3"
"1","25030745","S","51","CCT","2282 7th                  Avenue","Fort Lee","$1,440,000","11/18/2025","$1,499,999","TWNHS","","","4","4","1"
"1","25028213","S","67","CCT","2037 Marguerite Street","Fort Lee","$1,420,000","11/26/2025","$1,469,999","TWNHS","","","3","2","3"
"1","25024501","S","90","CCT","2284 7th                  Avenue","Fort Lee","$1,420,000","11/17/2025","$1,499,999","TWNHS","","","4","4","1"
"1","25009660","S","113","CCT","87 Woodmont             Circle","River Vale","$1,399,995","11/24/2025","$1,449,995","TWNHS","2,624","","3","3","0"
"1","25028754","S","37","CCT","25 Gabriel              Court Unit#25","Paramus","$1,200,000","11/14/2025","$1,235,000","TWNHS","","","3","2","2"
"1","25035331","S","5","CCT","12 Arlington Way","Oakland","$1,144,990","11/03/2025","$1,144,990","TWNHS","2,499","","3","3","1"
"1","25023284","S","24","CCT","2 Old Quarry Road","Englewood","$1,075,000","11/04/2025","$1,098,000","Condo","2,810","","2","2","1"
"1","25029055","S","23","CCT","221 10th                 Unit#B","Palisades Park","$1,050,000","11/21/2025","$1,070,000","Condo","","","4","4","2"
"1","25022463","S","98","CCT","283 Grant Avenue","Cliffside Park","$1,035,000","11/18/2025","$1,129,000","TWNHS","2,277","","4","3","1"
"1","25037055","S","18","CCT","5 Arlington Place","Oakland","$999,990","11/12/2025","$999,990","TWNHS","2,499","","3","3","1"
"1","25025693","S","34","CCT","1500 Palisade             Avenue Unit#28F","Fort Lee","$998,000","11/24/2025","$998,000","Co-op","2,208","","2","2","1"
"1","25034864","S","6","CCT","8 Trotter Way","Oakland","$990,040","11/13/2025","$990,040","TWNHS","2,499","","3","3","1"
"1","25011243","S","24","CCT","62 Buckthorn Court","Paramus","$960,000","11/03/2025","$985,000","Condo","2,332","","3","3","1"
"1","25036162","S","11","CCT","284 Knox Avenue Unit##B","Cliffside Park","$955,000","11/17/2025","$977,000","TWNHS","2,154","","3","3","1"
"1","25033962","S","10","CCT","197 Brewster Road","Wyckoff","$950,000","11/06/2025","$899,000","Condo","2,580","","3","2","1"
"1","25017921","S","131","CCT","300 Gorge Road Unit#63 & 64","Cliffside Park","$950,000","11/10/2025","$995,000","Condo","3,297","","4","2","1"
"1","25036498","S","8","CCT","301 Four Seasons Lane","Montvale","$915,000","11/21/2025","$879,000","Condo","1,957","","2","2","0"
"1","25026842","S","83","CCT","844 Hemlock Court Unit#T169","Norwood","$890,000","11/14/2025","$899,000","TWNHS","2,973","","4","3","1"
"1","25028467","S","36","CCT","33 Quail                Unit#33","Old Tappan","$880,000","11/04/2025","$899,000","TWNHS","2,910","","5","3","1"
"1","25029799","S","22","CCT","216 Beech Court Unit#216","Norwood","$875,000","11/13/2025","$855,000","TWNHS","2,133","","4","3","1"
