"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths"
"1","25012520","S","158","RES","2 Lookout Drive","Saddle River","$3,600,000","11/17/2025","$3,695,000","Colonial","","148,104","6","4","3"
"1","25032783","S","20","RES","13 Powder Hill Road","Saddle River","$2,850,000","11/25/2025","$2,850,000","Colonial","","87,120","5","3","1"
"1","25027833","S","37","RES","18 Autumn Court","Upper Saddle River","$2,600,000","11/21/2025","$2,650,000","Colonial","","43,996","5","4","1"
"1","25035717","S","18","RES","728 Closter Dock Road","Closter","$2,500,000","11/26/2025","$2,500,000","Colonial","","12,632","6","5","1"
"1","25025293","S","81","RES","1 Tanbark Trail","Saddle River","$2,500,000","11/20/2025","$2,550,000","Colonial","","87,120","5","4","1"
"1","25029117","S","3","RES","99 Oxford Drive","Tenafly","$2,350,000","11/17/2025","$2,500,000","Ranch","","45,302","4","4","1"
"1","25019759","S","20","RES","813 Sussex               Road","Franklin Lakes","$2,300,000","11/17/2025","$2,475,000","Colonial","","40,001","5","3","1"
"1","25031567","S","8","RES","16 Eugene Road","Saddle River","$2,250,000","11/24/2025","$1,999,000","Colonial","","87,120","4","4","1"
"1","25012877","S","107","RES","2 W Gate Road","Saddle River","$2,250,000","11/17/2025","$2,250,000","Colonial","","87,164","6","4","0"
"1","25014673","S","143","RES","108 Serpentine Road","Demarest","$2,100,000","11/26/2025","$2,278,000","Colonial","","15,115","5","4","1"
"1","25033174","S","13","RES","250 Hoppers Lane","Paramus","$2,099,999","11/21/2025","$2,099,999","Contemp","","9,374","6","5","1"
"1","25025291","S","36","RES","4 Depeyster Avenue","Tenafly","$1,900,000","11/20/2025","$1,999,000","Colonial","","20,000","6","4","1"
"1","25030213","S","41","RES","142 Ellsworth Terrace","Glen Rock","$1,875,000","11/20/2025","$1,999,999","Colonial","","13,640","4","4","1"
"1","25029694","S","56","RES","406 Carriage Lane","Wyckoff","$1,855,000","11/17/2025","$1,925,000","Colonial","","29,599","5","4","2"
"1","25024004","S","22","RES","27 Central Avenue","Demarest","$1,850,000","11/26/2025","$1,999,999","Colonial","","9,583","4","5","1"
"1","25026845","S","15","RES","176 Edson Terrace","Franklin Lakes","$1,800,000","11/18/2025","$1,790,000","Contemp","","50,530","4","3","0"
"1","25032200","S","27","RES","42 Westview Drive","Bergenfield","$1,750,000","11/24/2025","$1,799,000","Colonial","","5,114","7","5","1"
"1","25032216","S","8","RES","18 Bradley Lane","Montvale","$1,655,000","11/18/2025","$1,599,000","Colonial","","57,151","6","5","0"
"1","25015858","S","106","RES","271 County Road","Demarest","$1,620,000","11/21/2025","$1,650,000","Colonial","","55,321","6","3","1"
"1","25030810","S","51","RES","278 Starling Court","Paramus","$1,570,000","11/26/2025","$1,625,000","Colonial","","13,098","5","5","0"
"1","25033201","S","7","RES","52 Birch Street","Englewood Cliffs","$1,510,000","11/21/2025","$1,499,000","Colonial","","7,000","4","3","1"
"1","25029484","S","30","RES","582 Morse Avenue","Ridgefield","$1,510,000","11/28/2025","$1,499,999","Colonial","","6,199","4","4","1"
"1","25026472","S","81","RES","890 Oradell Avenue","Oradell","$1,500,000","11/17/2025","$1,499,995","Colonial","","11,252","5","5","0"
