"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths"
"1","25042881","S","49","RES","121 Jacquelin Avenue","Ho-Ho-Kus","$4,950,000","04/07/2026","$5,200,000","Colonial","","49,397","7","6","1"
"1","25034978","S","106","RES","5 Burning Hollow Road","Saddle River","$4,350,000","04/06/2026","$4,799,995","Colonial","","87,120","5","6","1"
"1","26000933","S","8","RES","211 Vaccaro Drive","Cresskill","$4,299,000","04/02/2026","$4,299,000","Colonial","","41,600","6","6","2"
"1","26001348","S","40","RES","125 Jackson Drive","Cresskill","$3,200,000","04/14/2026","$3,299,000","Colonial","","43,124","6","7","1"
"1","26013215","S","76","RES","337 Hardenburgh Avenue","Demarest","$2,850,000","04/13/2026","$2,695,000","Colonial","","30,013","5","4","1"
"1","25013953","S","252","RES","21 Birchwood           ","Old Tappan","$2,850,000","04/03/2026","$3,199,000","Colonial","","57,499","5","7","2"
"1","25036250","S","28","RES","35 Hampshire Hill       Road","Upper Saddle River","$2,575,000","04/06/2026","$2,575,000","Colonial","","40,511","5","5","1"
"1","25041833","S","67","RES","206 Peterson Place","Ramsey","$2,450,000","04/15/2026","$2,625,000","Colonial","","60,984","5","6","1"
"1","26001450","S","17","RES","921 Franklin Lake Road","Franklin Lakes","$1,960,000","04/07/2026","$2,099,000","Contemp","","43,124","6","6","0"
"1","26004271","S","7","RES","721 Somerset Street","Franklin Lakes","$1,950,000","04/10/2026","$1,749,000","Colonial","","56,628","4","2","1"
"1","26002702","S","4","RES","56 Magnolia Avenue","Tenafly","$1,900,000","04/06/2026","$1,500,000","Colonial","","15,631","5","3","1"
"1","25039105","S","120","RES","326 Northern Parkway","Ridgewood","$1,860,000","04/13/2026","$1,949,000","Colonial","","15,377","6","5","1"
"1","25035807","S","7","RES","44 Fairmount Road","Ridgewood","$1,850,000","04/06/2026","$1,895,000","Colonial","","33,672","6","2","2"
"1","26006018","S","7","RES","425 Rock Road","Glen Rock","$1,837,000","04/15/2026","$1,599,000","Colonial","","12,863","4","2","2"
"1","26005569","S","7","RES","430 Wastena Terrace","Ridgewood","$1,835,000","04/08/2026","$1,279,000","Colonial","","9,017","4","3","2"
"1","26002124","S","7","RES","163 Hampton Place","Ridgewood","$1,807,000","04/10/2026","$1,550,000","Colonial","","8,625","4","2","1"
"1","26002390","S","40","RES","44 Lynn                ","Englewood Cliffs","$1,775,000","04/06/2026","$1,880,000","Ranch","","","4","2","2"
"1","26001243","S","17","RES","508 Mountain Avenue","Township of Washington","$1,710,000","04/11/2026","$1,750,000","Colonial","","13,090","6","5","0"
"1","26005589","S","16","RES","62 Colony Avenue","Park Ridge","$1,700,000","04/15/2026","$1,675,000","Colonial","","18,500","5","4","0"
"1","26000891","S","5","RES","10 Orchard Place","Tenafly","$1,700,000","04/01/2026","$1,699,000","Colonial","","11,247","4","3","1"
"1","25035884","S","10","RES","11 Timberlane Road","Upper Saddle River","$1,700,000","04/01/2026","$1,490,000","Ranch","","37,462","4","3","1"
"1","26003191","S","10","RES","415 Linwood Avenue","Ridgewood","$1,655,000","04/06/2026","$1,575,000","Colonial","","10,890","4","3","1"
"1","26000559","S","43","RES","3 Serafin Place","Glen Rock","$1,650,000","04/10/2026","$1,649,000","Colonial","","23,705","5","4","1"
"1","25036430","S","94","RES","61 Overlook Drive","Woodcliff Lake","$1,580,000","04/14/2026","$1,590,000","Colonial","","36,900","5","5","0"
"1","26002903","S","11","RES","320 Park Street","Haworth","$1,550,000","04/10/2026","$1,550,000","Colonial","","23,400","5","3","1"
"1","25038954","S","15","RES","323 Rivervale Avenue","Norwood","$1,525,000","04/07/2026","$1,499,000","Colonial","","21,780","5","4","1"
"1","26003413","S","15","RES","15 Cobbler Lane","Mahwah","$1,500,000","04/08/2026","$1,400,000","Colonial","","49,658","5","3","1"
"1","25043862","S","61","RES","50 Highgate Terrace","Bergenfield","$1,470,000","04/01/2026","$1,300,000","Colonial","","5,998","5","3","1"
"1","26003823","S","20","RES","566 Faletti Way","River Vale","$1,452,500","04/01/2026","$1,395,000","Contemp","","22,398","4","3","0"
"1","25043479","S","8","RES","910 Huron Road","Franklin Lakes","$1,436,000","04/02/2026","$1,345,000","Colonial","","40,075","5","3","1"
"1","25044012","S","14","RES","127 Central Avenue","Glen Rock","$1,411,000","04/14/2026","$1,049,000","Colonial","","8,999","3","2","1"
"1","25040676","S","106","RES","276 River Drive","River Vale","$1,390,000","04/03/2026","$1,475,000","Colonial","","38,002","5","3","1"
"1","26000728","S","47","RES","1090 High Mountain Road","Franklin Lakes","$1,370,000","04/07/2026","$1,395,000","Colonial","","84,506","4","2","1"
"1","26012220","S","92","RES","438 Snyder Road","Wyckoff","$1,356,000","04/01/2026","$1,300,000","Colonial","","25,992","4","2","0"
"1","26002346","S","7","RES","724 W Saddle River Road","Ho-Ho-Kus","$1,350,000","04/01/2026","$1,295,000","Cape Cod","","14,671","3","3","0"
"1","26001966","S","2","RES","277 Maple                Street","Haworth","$1,315,000","04/10/2026","$1,250,000","Colonial","","19,501","3","2","0"
"1","26006392","S","24","RES","134 Arthur Court","Mahwah","$1,306,800","04/15/2026","$1,385,000","Colonial","","23,067","6","3","1"
"1","25023359","S","232","RES","291 Tappan               Road","Norwood","$1,275,000","04/13/2026","$1,490,000","Colonial","","28,750","4","5","0"
"1","26001804","S","21","RES","18 Vermont Drive","Paramus","$1,260,000","04/06/2026","$1,260,000","Colonial","","11,235","4","2","1"
"1","26001546","S","50","RES","162 Sylvan Avenue","Leonia","$1,250,000","04/01/2026","$1,190,000","Colonial","","5,001","3","3","1"
"1","26002262","S","36","RES","75 Demarest Avenue","Emerson","$1,240,000","04/11/2026","$1,299,000","BiLvl","","13,125","4","3","0"
"1","26012111","S","39","RES","58 Fairway Terrace","Norwood","$1,200,000","04/06/2026","$1,198,000","Colonial","","34,125","5","2","1"
"1","26014512","S","26","RES","13-61 Lyle Terrace","Fair Lawn","$1,170,000","04/06/2026","$1,200,000","Colonial","","7,501","4","3","1"
"1","26003471","S","13","RES","20 Paulin               Boulevard","Leonia","$1,130,000","04/13/2026","$1,125,000","Colonial","","11,683","6","3","1"
"1","25041854","S","10","RES","50 S 5th Street","Park Ridge","$1,055,000","04/13/2026","$859,000","Ranch","","20,852","3","2","0"
"1","26005468","S","7","RES","78 Woodmont Drive","Woodcliff Lake","$1,040,000","04/09/2026","$989,000","Split","","30,000","3","2","1"
"1","26005264","S","10","RES","26 Large                Avenue","Hillsdale","$1,035,000","04/06/2026","$999,000","Colonial","","14,000","4","2","1"
"1","26004546","S","11","RES","7 Maple Hill Drive","Woodcliff Lake","$999,000","04/14/2026","$975,000","Ranch","","18,857","3","2","0"
"1","26000104","S","60","RES","343B Harriet Avenue","Palisades Park","$980,000","04/15/2026","$999,999","BiLvl","","4,025","4","3","0"
"1","26001562","S","44","RES","6-10 River Road","Fair Lawn","$975,000","04/01/2026","$975,000","Colonial","","7,649","5","3","1"
"1","26001950","S","14","RES","47 Herold Drive","Glen Rock","$962,500","04/10/2026","$899,000","BiLvl","","12,750","4","3","0"
"1","26003024","S","38","RES","378 S Terhune Avenue","Paramus","$940,000","04/14/2026","$970,000","Ranch","","30,627","3","3","0"
"1","26000338","S","53","RES","129 Sanford Avenue","Emerson","$940,000","04/13/2026","$965,000","Colonial","","8,625","5","3","0"
"1","25036519","S","14","RES","130 Reich                Avenue","Mahwah","$935,000","04/13/2026","$899,000","Colonial","","","4","2","1"
"1","25041111","S","13","RES","692 Pine Lake Drive","Township of Washington","$926,000","04/10/2026","$849,999","Split","","11,600","3","2",""
"1","26003274","S","24","RES","131 Palsa Avenue","Elmwood Park","$910,000","04/06/2026","$899,900","Colonial","","5,001","5","5","0"
"1","26002231","S","27","RES","128 Bell Avenue","Saddle Brook","$890,000","04/14/2026","$889,910","Split","","7,867","6","2","1"
"1","26001735","S","21","RES","105 Circle Drive","Paramus","$890,000","04/14/2026","$799,999","Cape Cod","","9,816","4","2","0"
"1","26002644","S","22","RES","857 Collingwood Avenue","Maywood","$885,000","04/03/2026","$884,999","Colonial","","5,998","4","2","0"
