"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths"
"1","26003238","S","26","2to4","54 Spring Street","Lodi","$650,000","04/30/2026","$624,900","2 Fam","","2,500","4","2","0"
"1","26001500","S","33","2to4","245-247 Court Avenue","Lyndhurst","$675,000","04/03/2026","$575,000","4 Fam","","9,052","8","4","0"
"1","26001501","S","33","2to4","249-251 Court Avenue","Lyndhurst","$675,000","04/03/2026","$575,000","4 Fam","","7,902","8","4","0"
"1","26002218","S","20","2to4","168-170 Clay Street","Hackensack","$910,000","04/15/2026","$895,000","2 Fam","","7,549","6","3","1"
"1","25030186","S","5","2to4","195 Park Street","Ridgefield Park","$775,000","04/14/2026","$649,000","2 Fam","","7,501","4","3","0"
"1","26006579","S","11","2to4","44 Forsythia Lane","Paramus","$1,600,000","04/30/2026","$1,599,000","2 Fam","","17,598","8","5","1"
"1","26004962","S","24","2to4","19 Bedford Road","Dumont","$920,000","04/06/2026","$875,000","2 Fam","","11,583","6","2","0"
"1","25041548","S","26","2to4","515 Harrison Avenue","Garfield","$750,000","04/03/2026","$750,000","2 Fam","","10,939","5","3","0"
"1","26002079","S","11","2to4","80 Caruth Avenue","Elmwood Park","$900,000","04/29/2026","$899,000","2 Fam","","5,878","5","2","1"
"1","26006403","S","13","2to4","328 Carmita              Avenue","Rutherford","$1,389,000","04/22/2026","$1,250,000","2 Fam","","","4","3","1"
"1","26004327","S","21","2to4","648 Milton Avenue","Lyndhurst","$895,000","04/29/2026","$895,000","2 Fam","","8,682","6","3","0"
"1","26003091","S","10","2to4","19 Victor Street","Lodi","$805,000","04/14/2026","$739,000","2 Fam","","7,500","4","2","0"
"1","26002119","S","15","2to4","124 Lee Street","Elmwood Park","$915,000","04/17/2026","$899,000","2 Fam","","6,525","4","3","0"
"1","26010566","S","2","2to4","6 2nd Street","North Arlington","$850,000","04/04/2026","$850,000","2 Fam","","5,001","5","2","0"
"1","26003893","S","12","2to4","45 Arnot Street","Lodi","$760,000","04/13/2026","$700,000","2 Fam","","5,001","6","2","0"
"1","25034179","S","17","2to4","426 Broad Street","Carlstadt","$1,060,000","04/27/2026","$950,000","2 Fam","","4,957","6","4","1"
"1","25038438","S","102","2to4","11 W Gouverneur Avenue","Rutherford","$980,000","04/30/2026","$960,000","2 Fam","","4,935","4","2","0"
"1","25014541","S","239","2to4","72 Van Winkle Avenue","Garfield","$710,000","04/13/2026","$709,999","2 Fam","","3,062","5","3","0"
"1","26006071","S","9","2to4","22 Harrison Avenue","Garfield","$700,000","04/20/2026","$649,000","2 Fam","","2,590","6","3","0"
"1","26002701","S","13","2to4","7 Edison Place","East Rutherford","$819,000","04/01/2026","$729,000","2 Fam","","1,220","4","2","0"
"1","26001852","S","18","2to4","31 Smith Street","Waldwick","$950,000","04/13/2026","$999,999","2 Fam","","14,022","4","4","0"
"1","26001300","S","5","2to4","93 Richmond Street","Lodi","$992,500","04/02/2026","$949,000","2 Fam","","5,001","5","4","0"
"1","26000269","S","77","2to4","44 Malcolm              Avenue","Garfield","$790,000","04/23/2026","$824,998","2 Fam","","5,000","4","3","0"
"1","25041200","S","112","2to4","413 Lanza Avenue","Garfield","$790,000","04/28/2026","$828,800","2 Fam","","3,147","4","2","0"
"1","25043658","S","35","2to4","74 Liberty Place","Palisades Park","$2,385,000","04/06/2026","$2,600,000","2 Fam","","","6","4","3"
"1","26013446","S","266","2to4","114 Orient Way","Rutherford","$1,352,000","04/15/2026","$1,352,000","4 Fam","","12,950","6","4","1"
