"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths"
"1","26007519","S","13","CCT","900 Somerset Court","Ramsey","$650,000","04/28/2026","$600,000","TWNHS","1,407","","2","2","1"
"1","25044182","S","21","CCT","3061 Edwin                Unit#3E","Fort Lee","$199,000","04/06/2026","$199,999","Co-op","","","1","1","0"
"1","26005010","S","12","CCT","19 Fox Run Road","Allendale","$1,200,000","04/20/2026","$1,100,000","TWNHS","2,696","","3","3","1"
"1","25043838","S","9","CCT","272 Belmont Place Unit#272","Mahwah","$990,000","04/06/2026","$869,000","TWNHS","","","3","2","1"
"1","26006259","S","5","CCT","459 Lost River Court","Mahwah","$810,000","04/09/2026","$829,000","TWNHS","2,132","","3","2","1"
"1","26002276","S","18","CCT","300 Winston Drive Unit#C0514","Cliffside Park","$441,000","04/27/2026","$419,000","Condo","962","","1","1","0"
"1","26006668","S","5","CCT","160 Overlook Avenue Unit#16C","Hackensack","$410,000","04/17/2026","$410,000","Condo","1,464","","2","2","0"
"1","25027093","S","192","CCT","2000 Linwood Avenue Unit#6M","Fort Lee","$408,000","04/20/2026","$428,000","Condo","","","2","2","0"
"1","26007489","S","6","CCT","540 Fairview             Unit#102","Westwood","$400,000","04/24/2026","$389,000","Condo","","","1","1","0"
"1","25043949","S","67","CCT","1315 Anderson Avenue Unit#32","Fort Lee","$375,000","04/09/2026","$379,000","Condo","890","","2","1","0"
"1","26007357","S","10","CCT","140 Euclid Avenue Unit#6E","Hackensack","$320,000","04/30/2026","$319,000","Condo","960","","1","1","0"
"1","26005794","S","25","CCT","245 Johnson Avenue Unit#K1","Hackensack","$289,000","04/29/2026","$299,888","Condo","670","","1","1","0"
"1","26001680","S","13","CCT","20 Jefferson            Street Unit#B10","Hackensack","$283,900","04/03/2026","$289,900","Condo","","","1","1","0"
"1","26000431","S","21","CCT","250 Gorge                Unit#28A","Cliffside Park","$265,000","04/16/2026","$265,000","Co-op","","","1","1","0"
"1","25034858","S","167","CCT","6 Horizon              Road Unit#2207","Fort Lee","$240,000","04/23/2026","$250,000","Co-op","1,317","","1","1","1"
"1","25040001","S","36","CCT","4 Horizon              Road Unit#627","Fort Lee","$220,000","04/20/2026","$210,000","Co-op","","","1","1","0"
"1","25022948","S","242","CCT","6 Horizon              Unit#2002","Fort Lee","$175,000","04/30/2026","$210,000","Co-op","2,125","","3","2","1"
"1","25042631","S","28","CCT","2077 Center Avenue Unit#5E","Fort Lee","$155,000","04/07/2026","$159,000","Co-op","780","","1","1","0"
"1","25039813","S","131","CCT","6 Horizon              Road Unit#302","Fort Lee","$140,000","04/09/2026","$145,000","Co-op","703","","1","1","0"
"1","26003083","S","8","CCT","37 Spring Wolf Trail","Franklin Lakes","$2,440,000","04/14/2026","$2,350,000","TWNHS","3,097","","4","4","1"
"1","26002051","S","12","CCT","3 Somerset Lane Unit#415","Edgewater","$1,580,000","04/21/2026","$1,548,000","Condo","1,897","","3","2","1"
"1","25039490","S","130","CCT","256 7th Street Unit#C","Palisades Park","$1,310,000","04/17/2026","$1,400,000","TWNHS","","","3","2","2"
"1","26005493","S","7","CCT","5 Lakeview Drive","Old Tappan","$1,080,000","04/17/2026","$975,000","TWNHS","1,979","","3","2","2"
"1","26003568","S","26","CCT","227B 5th                  Unit#B","Palisades Park","$999,999","04/03/2026","$999,900","Condo","2,627","","4","3","1"
"1","26004461","S","18","CCT","35 Marquis Court","Edgewater","$999,000","04/01/2026","$999,000","Condo","1,570","","2","3","0"
"1","26006780","S","6","CCT","64 Peach Hill           Court","Ramsey","$940,000","04/28/2026","$799,999","TWNHS","","","3","2","1"
"1","25043526","S","29","CCT","141 Pond Drive Unit#14A","Township of Washington","$910,000","04/30/2026","$849,000","TWNHS","1,736","","3","2","1"
"1","26002360","S","12","CCT","784 Kinderkamack Road Unit#101","River Edge","$870,000","04/01/2026","$799,000","Condo","1,880","","3","2","1"
"1","26000111","S","46","CCT","55 Landmark Lane","Fair Lawn","$850,000","04/09/2026","$879,900","TWNHS","2,025","","3","2","1"
"1","26004909","S","25","CCT","496 Shadow Mountain Road","Mahwah","$825,000","04/13/2026","$799,000","TWNHS","2,056","","3","2","1"
"1","26000282","S","8","CCT","74 Woodbury Court Unit#74C","Township of Washington","$725,000","04/15/2026","$650,000","TWNHS","","","2","2","1"
"1","26005469","S","13","CCT","557 Ridge Lane Unit#4220","Fort Lee","$700,000","04/21/2026","$638,000","Condo","1,364","","2","2","1"
"1","26003752","S","34","CCT","1511 John Street","Fort Lee","$700,000","04/20/2026","$749,000","TWNHS","1,538","","3","2","2"
"1","26007318","S","5","CCT","653 Richmond Court","Ramsey","$675,000","04/20/2026","$649,900","TWNHS","1,407","","2","2","1"
"1","26005214","S","9","CCT","100 Grand Cove Way Unit#3A","Edgewater","$645,000","04/24/2026","$585,000","Condo","1,278","","2","2","0"
"1","26003281","S","24","CCT","34 Arnold Drive","Wood Ridge","$600,000","04/10/2026","$569,900","TWNHS","1,073","","2","2","0"
"1","26006641","S","28","CCT","245 Prospect Avenue Unit#12B","Hackensack","$599,999","04/13/2026","$619,000","Condo","1,662","","2","2","0"
"1","26003930","S","11","CCT","758 Charles Court Unit#6107","Fort Lee","$540,000","04/10/2026","$530,000","Condo","969","","2","1","0"
"1","26007014","S","13","CCT","89 Plauderville         Avenue Unit#10","Garfield","$530,000","04/15/2026","$530,000","TWNHS","","","2","2","1"
"1","26007107","S","9","CCT","528 Holly Court","Mahwah","$526,000","04/27/2026","$465,000","Condo","1,108","","2","2","0"
"1","25029458","S","50","CCT","2000 Linwood              Avenue Unit#21S","Fort Lee","$500,000","04/03/2026","$510,000","Condo","","","2","2","0"
"1","26006395","S","14","CCT","300 Winston Drive Unit#919","Cliffside Park","$499,000","04/10/2026","$499,000","Condo","1,211","","2","2","0"
"1","26007047","S","11","CCT","130 Raintree Lane","Mahwah","$491,000","04/20/2026","$450,000","Condo","1,108","","2","2","0"
"1","26007680","S","22","CCT","770 Anderson Avenue Unit#12K","Cliffside Park","$480,000","04/24/2026","$499,000","Condo","1,356","","2","2","0"
"1","26000128","S","53","CCT","1203 River Road Unit#19K","Edgewater","$478,888","04/07/2026","$478,888","Condo","880","","1","1","0"
"1","25039662","S","149","CCT","5307 Rio Vista Lane","Northvale","$465,000","04/29/2026","$469,000","Condo","820","","1","1","0"
"1","26001847","S","17","CCT","521 Piermont             Avenue Unit#403A","River Vale","$455,000","04/16/2026","$449,000","Condo","1,368","","2","2","0"
