"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths"
"1","25022809","S","17","RES","91 Macarthur Avenue","Closter","$4,288,000","04/20/2026","$4,388,000","Colonial","","21,344","6","6","2"
"1","25040657","S","147","RES","29 N Church Road","Saddle River","$4,100,000","04/30/2026","$4,200,000","Colonial","","65,340","6","7","1"
"1","26006184","S","15","RES","19 Academy Lane","Demarest","$2,950,000","04/28/2026","$2,998,000","Colonial","","204,732","5","5","2"
"1","26005930","S","7","RES","120 W Ridgewood Avenue","Ridgewood","$2,850,000","04/30/2026","$2,495,000","Colonial","","24,219","5","4","1"
"1","26013926","S","143","RES","314 Hutchinson Road","Englewood","$2,800,000","04/16/2026","$2,800,000","Colonial","","34,953","6","4","1"
"1","26014488","S","151","RES","109 Heights Road","Ridgewood","$2,675,000","04/20/2026","$2,675,000","Colonial","","15,594","5","3","2"
"1","26000372","S","8","RES","11 Aldbury              Drive","Upper Saddle River","$2,620,000","04/30/2026","$2,395,000","Colonial","","37,462","5","6","1"
"1","25040085","S","80","RES","10 Big Ramapo Road","Saddle River","$2,613,000","04/27/2026","$2,779,000","Contemp","","92,347","5","4","1"
"1","26008679","S","13","RES","163 Phelps Road","Ridgewood","$2,605,000","04/27/2026","$2,495,000","Colonial","","19,994","5","3","1"
"1","25033845","S","125","RES","951 Scioto Drive","Franklin Lakes","$2,565,000","04/29/2026","$3,325,000","BiLvl","","60,984","7","7","1"
"1","26009128","S","7","RES","308 Spring               Lane","Haworth","$2,550,000","04/22/2026","$2,499,999","Colonial","","16,000","6","6","1"
"1","26003947","S","18","RES","192 Thomas Drive","Paramus","$2,380,000","04/30/2026","$2,399,995","Colonial","","9,448","6","6","1"
"1","26002444","S","48","RES","54 Mohawk Avenue","Norwood","$2,380,000","04/30/2026","$2,550,000","Colonial","","39,640","6","5","2"
"1","26005167","S","5","RES","88 Chestnut Ridge Road","Saddle River","$2,379,000","04/16/2026","$2,379,000","Ranch","","95,832","4","4","0"
"1","26003948","S","28","RES","365 Forest Drive","Englewood Cliffs","$2,250,000","04/29/2026","$2,500,000","Colonial","","9,901","4","3","1"
"1","26001994","S","6","RES","3 London               Court","Woodcliff Lake","$2,200,000","04/30/2026","$2,165,000","Colonial","","36,101","5","5","1"
"1","25043503","S","43","RES","65 Prospect Avenue","Haworth","$2,150,037","04/30/2026","$2,198,000","Colonial","","10,607","7","5","2"
"1","26014257","S","59","RES","9 Haring Street","Closter","$1,945,000","04/21/2026","$1,945,000","Colonial","","2,500","6","5","0"
"1","25032576","S","146","RES","40 5th Street","Cresskill","$1,875,000","04/16/2026","$1,998,000","Colonial","","15,365","5","4","1"
"1","26006062","S","6","RES","14 Adams Drive","Cresskill","$1,850,000","04/17/2026","$1,450,000","Colonial","","41,600","3","3","1"
