"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths"
"1","25022998","S","222","RES","645 Summit Street","Englewood Cliffs","$5,400,000","03/19/2026","$5,800,000","Colonial","","18,733","6","7","2"
"1","26010019","S","51","RES","17 Candlestick Lane","Upper Saddle River","$4,200,000","03/23/2026","$4,200,000","Colonial","","37,462","6","7","1"
"1","25026647","S","204","RES","311 Algonquin Road","Franklin Lakes","$4,100,000","03/17/2026","$4,550,000","Colonial","","117,612","5","6","1"
"1","25041848","S","9","RES","940 Loch Road","Franklin Lakes","$3,000,000","03/25/2026","$3,189,000","Colonial","","271,379","6","5","1"
"1","26009115","S","180","RES","22 Westerly Road","Saddle River","$2,895,000","03/17/2026","$2,950,000","Colonial","","43,560","5","4","2"
"1","25040407","S","61","RES","22 Pembroke Trail","Upper Saddle River","$2,550,000","03/24/2026","$2,999,000","Colonial","","37,462","5","4","3"
"1","25043542","S","3","RES","91 Tekening Drive","Tenafly","$2,520,000","03/16/2026","$2,599,000","Colonial","","40,075","6","3","1"
"1","25044158","S","50","RES","27 Applewood            Drive","Upper Saddle River","$2,275,000","03/19/2026","$2,450,000","Colonial","","39,640","6","6","1"
"1","25032591","S","140","RES","559 Stellman             Drive","River Vale","$2,275,000","03/23/2026","$2,349,000","Colonial","","18,500","6","5","1"
"1","26001418","S","45","RES","11 Garvey Place","Glen Rock","$2,200,000","03/30/2026","$2,295,000","Colonial","","11,200","6","5","1"
"1","25039133","S","66","RES","187 Brookfield Avenue","Paramus","$2,200,000","03/27/2026","$2,195,000","Colonial","","13,975","6","6","1"
"1","25040788","S","88","RES","121 Circle Drive","Paramus","$2,150,000","03/19/2026","$2,199,995","Colonial","","10,675","7","5","1"
"1","26003934","S","12","RES","409 Woodland Street","Englewood","$2,135,000","03/26/2026","$2,050,000","Colonial","","20,000","5","4","1"
"1","25044210","S","30","RES","33 Oliver Road","Paramus","$2,100,000","03/23/2026","$2,199,999","Colonial","","10,149","6","7","1"
"1","25036828","S","81","RES","327 E Midland Avenue","Paramus","$2,050,000","03/19/2026","$2,195,000","Colonial","","36,155","5","5","1"
"1","25041756","S","13","RES","26 Glenwood Road","Tenafly","$1,999,000","03/16/2026","$1,699,000","Colonial","","20,111","5","3","2"
"1","25043732","S","19","RES","61 Beech Street","Ramsey","$1,967,000","03/20/2026","$1,879,000","Colonial","","16,858","5","5","1"
"1","25031322","S","65","RES","23 Brook                Road","Upper Saddle River","$1,900,000","03/20/2026","$1,999,999","Contemp","","49,658","5","4","1"
"1","25033979","S","22","RES","75 Apple Ridge","Woodcliff Lake","$1,875,000","03/25/2026","$1,750,000","Colonial","","34,604","6","4","1"
"1","25034519","S","161","RES","214 Durie Avenue","Closter","$1,850,000","03/24/2026","$1,900,000","Colonial","","21,601","7","6","1"
"1","26005587","S","7","RES","778 E Ridgewood Avenue","Ridgewood","$1,790,000","03/26/2026","$1,475,000","Colonial","","19,254","4","2","1"
"1","25040717","S","65","RES","425 Saddle Back Trail","Franklin Lakes","$1,785,000","03/31/2026","$1,850,000","Colonial","","40,162","7","6","1"
"1","26009344","S","51","RES","28 Linda Drive","Allendale","$1,775,000","03/19/2026","$1,595,000","Colonial","","45,433","5","5","4"
"1","26011172","S","84","RES","475 Forest               Avenue","Teaneck","$1,700,000","03/30/2026","$1,700,000","Colonial","","6,900","6","5","1"
"1","25032550","S","26","RES","12 Westervelt Avenue","Tenafly","$1,700,000","03/26/2026","$1,745,000","Colonial","","19,502","5","3","1"
"1","26003786","S","14","RES","39 Drury Lane","Demarest","$1,690,000","03/20/2026","$1,690,000","Colonial","","9,801","4","3","1"
"1","26009173","S","62","RES","356 Vomel Drive","New Milford","$1,675,000","03/18/2026","$1,675,000","Colonial","","8,022","5","4","1"
"1","25041337","S","32","RES","680 Soldier Hill Road","Oradell","$1,665,000","03/27/2026","$1,600,000","Colonial","","32,521","5","4","1"
"1","25042320","S","65","RES","145 Midwood Road","Glen Rock","$1,655,000","03/20/2026","$1,745,000","Colonial","","7,501","5","5","1"
"1","25043455","S","23","RES","65 Plymouth Road","Glen Rock","$1,654,000","03/25/2026","$1,649,000","Colonial","","25,622","5","3","1"
"1","26004071","S","5","RES","80 2nd Street","Park Ridge","$1,650,000","03/31/2026","$1,650,000","Colonial","","14,580","6","5","0"
"1","26010887","S","258","RES","75 Westview Drive","Bergenfield","$1,600,000","03/26/2026","$1,600,000","Colonial","","5,602","6","5","0"
"1","25040594","S","39","RES","222 Ridge Road","Rutherford","$1,600,000","03/19/2026","$1,599,000","Colonial","","8,494","5","4","1"
"1","25035919","S","69","RES","7 Valley Forge Road","Oakland","$1,600,000","03/24/2026","$1,650,000","Colonial","","57,238","5","4","0"
"1","26000499","S","7","RES","18 Tonawanda Road","Glen Rock","$1,580,000","03/31/2026","$1,349,000","Colonial","","17,237","3","1","1"
"1","26004037","S","8","RES","520 Hillcrest Road","Ridgewood","$1,570,000","03/27/2026","$1,350,000","Colonial","","10,193","4","2","1"
"1","25044268","S","14","RES","44 Blueberry Drive","Woodcliff Lake","$1,505,000","03/25/2026","$1,588,950","Colonial","","29,865","4","3","2"
"1","26010278","S","51","RES","5-24 Summit Avenue","Fair Lawn","$1,467,300","03/25/2026","$1,475,000","Cape Cod","","","4","3","1"
"1","26003693","S","16","RES","164 Grace Avenue","Old Tappan","$1,460,000","03/24/2026","$1,380,000","Colonial","","10,001","5","3","1"
"1","26006558","S","5","RES","14 Washington Lane","Mahwah","$1,450,000","03/26/2026","$1,199,000","Colonial","","81,588","4","3","1"
"1","26011024","S","32","RES","235 Ridgewood Avenue","Ridgewood","$1,400,000","03/30/2026","$1,400,000","Colonial","","17,511","4","3","1"
"1","25031684","S","14","RES","244 Fairview Avenue","Englewood Cliffs","$1,400,000","03/26/2026","$1,700,000","Contemp","","9,679","5","3","2"
"1","26000493","S","15","RES","114 Hudson Avenue","Tenafly","$1,390,000","03/27/2026","$1,275,000","Colonial","","5,149","3","2","1"
"1","25039334","S","77","RES","133 Morristown Place","Paramus","$1,390,000","03/20/2026","$1,399,000","BiLvl","","12,967","5","3","0"
"1","26002519","S","7","RES","589 Fletcher Avenue","Oradell","$1,350,008","03/26/2026","$1,199,999","Split","","10,899","4","3","0"
"1","26004657","S","7","RES","355 Kensington Drive","Ridgewood","$1,350,000","03/25/2026","$1,200,000","Colonial","","8,668","3","2","1"
"1","26001422","S","7","RES","33 Elycroft Parkway","Rutherford","$1,350,000","03/17/2026","$1,299,000","Colonial","","4,966","6","5","0"
"1","25037923","S","98","RES","80 Prospect Avenue","Woodcliff Lake","$1,350,000","03/19/2026","$1,499,000","Colonial","","26,550","6","4","1"
"1","25041351","S","73","RES","820 Elm Avenue","Ridgefield","$1,330,000","03/31/2026","$1,389,000","Colonial","","5,001","4","4","1"
"1","25040144","S","50","RES","28 North Street","Ramsey","$1,326,000","03/25/2026","$1,350,000","Colonial","","11,000","4","3","1"
"1","25043437","S","18","RES","16 Herron              ","Harrington Park","$1,320,000","03/18/2026","$1,299,000","Colonial","","15,120","4","3","1"
"1","26009350","S","11","RES","35 Deerhill Drive","Ho-Ho-Kus","$1,275,000","03/19/2026","$1,275,000","Ranch","","43,778","4","3","0"
"1","26001767","S","13","RES","1128 Abbott Boulevard","Fort Lee","$1,275,000","03/18/2026","$998,000","Ranch","","5,001","3","3","0"
"1","26003663","S","7","RES","64 Anona Drive","Upper Saddle River","$1,250,000","03/26/2026","$1,100,000","Colonial","","37,897","5","3","1"
"1","25017300","S","229","RES","56B Jefferson           ","Emerson","$1,199,900","03/17/2026","$1,199,900","Duplex","","","4","2","1"
"1","25038024","S","63","RES","470 Myrtle Avenue","Englewood","$1,190,000","03/19/2026","$1,150,000","Colonial","","5,001","4","3","0"
"1","26004786","S","19","RES","196 Graphic Boulevard","Bergenfield","$1,185,000","03/31/2026","$1,189,000","Contemp","","8,002","5","4","1"
"1","26001644","S","7","RES","516 Stevens Avenue","Ridgewood","$1,165,000","03/25/2026","$862,000","Colonial","","11,587","3","2","0"
"1","25042307","S","71","RES","178 Leonard Place","North Arlington","$1,155,000","03/19/2026","$1,175,000","Colonial","","5,001","5","5","0"
"1","25043634","S","6","RES","719 Neill Court","Oradell","$1,150,000","03/17/2026","$949,000","Ranch","","13,499","3","2","1"
"1","25041786","S","10","RES","384 Blanch Avenue","Closter","$1,149,000","03/30/2026","$1,149,000","BiLvl","","14,375","4","3","0"
"1","26003362","S","7","RES","56 Highland Road","Glen Rock","$1,140,000","03/30/2026","$995,000","Colonial","","7,436","4","2","1"
"1","25042904","S","65","RES","39 Andrew Avenue","Oakland","$1,110,000","03/31/2026","$1,150,000","Split","","26,877","4","4","0"
"1","26003163","S","5","RES","69 Sussex Road","Tenafly","$1,100,000","03/25/2026","$968,950","Colonial","","10,001","3","1","1"
"1","26000777","S","40","RES","1 Broadway","Park Ridge","$1,080,000","03/16/2026","$999,999","BiLvl","","30,440","6","3","0"
"1","25044098","S","9","RES","524 Harristown Road","Glen Rock","$1,075,000","03/20/2026","$839,000","Cape Cod","","15,259","4","2","0"
"1","26003100","S","14","RES","16 Windsor Drive","Park Ridge","$1,050,000","03/31/2026","$915,000","Split","","12,502","5","3","1"
"1","25040777","S","69","RES","15 Edgewater Road","Cliffside Park","$1,050,000","03/20/2026","$1,095,000","Colonial","","4,500","3","1","1"
"1","25031758","S","13","RES","159 N Deer Trail","Ramsey","$1,050,000","03/25/2026","$989,000","Contemp","","36,808","3","2","2"
