"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths"
"1","25025339","S","120","2to4","211 E Harriet Avenue","Palisades Park","$2,670,000","03/24/2026","$2,800,000","2 Fam","","0","6","6","2"
"1","26002118","S","29","2to4","407 Jane Street","Fort Lee","$1,450,000","03/19/2026","$1,478,000","2 Fam","","5,001","6","4","0"
"1","26002143","S","15","2to4","132 Clinton Place","East Rutherford","$1,250,000","03/06/2026","$1,190,000","2 Fam","","7,501","8","5","0"
"1","26000371","S","34","2to4","12 Maple Avenue","Waldwick","$1,212,500","03/19/2026","$1,299,999","2 Fam","","9,374","6","4","1"
"1","25038570","S","84","2to4","46 Garden Place","Edgewater","$1,200,000","03/05/2026","$1,299,000","2 Fam","","4,691","6","3","0"
"1","25042086","S","32","2to4","102 Charlton            ","Lodi","$1,150,000","03/06/2026","$1,199,900","2 Fam","","","4","3","1"
"1","26001778","S","12","2to4","121 Philip Avenue","Elmwood Park","$1,075,000","03/19/2026","$969,900","2 Fam","","","6","5","0"
"1","26001102","S","4","2to4","432 Oak Street","Ridgefield","$999,999","03/10/2026","$950,000","2 Fam","","5,001","6","3","0"
"1","25031898","S","107","2to4","207 Grand Avenue","Palisades Park","$957,500","03/17/2026","$975,000","2 Fam","","5,001","4","3","0"
"1","25043290","S","16","2to4","761 Hurley Place","Fairview","$950,000","03/03/2026","$945,000","2 Fam","","4,500","6","2","0"
"1","25040358","S","19","2to4","75 Cleveland Street","Hackensack","$950,000","03/06/2026","$895,000","2 Fam","","14,549","4","3","0"
"1","26000265","S","59","2to4","143 Bergen Boulevard","Palisades Park","$940,000","03/27/2026","$975,000","2 Fam","","6,752","5","2","0"
"1","25043372","S","19","2to4","342 Lincoln Avenue","Elmwood Park","$899,000","03/02/2026","$899,000","2 Fam","","4,661","5","2","0"
"1","26000444","S","22","2to4","592 Broad Street","Carlstadt","$880,000","03/30/2026","$849,000","2 Fam","","3,698","5","4","0"
"1","25038979","S","37","2to4","271 Erie Avenue","Rutherford","$875,000","03/02/2026","$899,999","2 Fam","","5,001","5","2","0"
"1","26003157","S","11","2to4","135 Jay Avenue","Lyndhurst","$840,000","03/20/2026","$779,999","2 Fam","","4,961","6","4","0"
"1","26003115","S","13","2to4","104 Belmont Avenue","Garfield","$800,000","03/25/2026","$689,999","2 Fam","","3,750","5","2","0"
"1","26000694","S","14","2to4","593 Broad Street","Carlstadt","$800,000","03/04/2026","$749,000","2 Fam","","2,901","5","2","0"
"1","26002587","S","18","2to4","119 Halstead Avenue","Wallington","$765,000","03/06/2026","$725,000","2 Fam","","2,483","6","2","0"
"1","25007435","S","225","2to4","113 Franklin Street","Little Ferry","$763,000","03/31/2026","$798,000","2 Fam","","12,502","3","2","0"
"1","26001416","S","17","2to4","22 Falmouth Avenue","Elmwood Park","$760,000","03/11/2026","$639,900","2 Fam","","5,001","4","2","0"
"1","26001201","S","10","2to4","211 Bedford Road","Dumont","$750,000","03/17/2026","$699,000","2 Fam","","7,501","4","2","0"
"1","26005881","S","3","2to4","16 Somerset Street","Garfield","$705,000","03/04/2026","$705,000","3 Fam","","5,000","4","3","0"
"1","25041970","S","24","2to4","599 Harrison Avenue","Garfield","$700,000","03/12/2026","$649,000","2 Fam","","4,095","3","3","0"
"1","25043143","S","74","2to4","363 Macarthur Avenue","Garfield","$699,900","03/12/2026","$699,900","2 Fam","","2,500","7","3","0"
"1","25032517","S","91","2to4","344 10th Street","Carlstadt","$675,000","03/30/2026","$699,999","2 Fam","","5,201","3","2","0"
"1","26007995","S","7","2to4","418 Taylor Avenue","Hackensack","$655,000","03/19/2026","$650,000","2 Fam","","5,001","4","2","1"
"1","25042901","S","38","2to4","230 New Street","Lyndhurst","$650,000","03/26/2026","$679,000","2 Fam","","5,428","4","2","0"
"1","26010894","S","53","2to4","329 Broad Street","Carlstadt","$640,000","03/27/2026","$675,000","3 Fam","","5,001","4","3","0"
"1","26000677","S","2","2to4","309 2nd Street","Cliffside Park","$635,000","03/30/2026","$649,900","2 Fam","","2,500","5","3","0"
"1","26003970","S","12","2to4","373 McKinley Street","Fairview","$625,000","03/30/2026","$599,999","2 Fam","","2,500","4","2","0"
"1","25026378","S","88","2to4","186 Arlington Boulevard","North Arlington","$605,000","03/06/2026","$624,999","2 Fam","","3,332","4","2","0"
"1","25026188","S","169","2to4","12 Brandt Street","Little Ferry","$590,000","03/04/2026","$620,000","2 Fam","","5,994","5","2","0"
"1","25040813","S","51","2to4","15 Somerset Street","Garfield","$580,200","03/19/2026","$579,900","2 Fam","","2,500","5","2","0"
"1","25040804","S","22","2to4","14 GRAND Street","Garfield","$570,000","03/28/2026","$549,900","2 Fam","","3,075","5","3","0"
"1","26000347","S","33","2to4","381 Mola Boulevard","Elmwood Park","$505,000","03/31/2026","$470,000","2 Fam","","5,001","1","2","0"
