"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths"
"1","25009966","S","149","2to4","80 Macarthur Avenue","Lodi","$750,000","12/04/2025","$789,900","2 Fam","","4,356","5","1","0"
"1","25026826","S","94","2to4","419 Lake Avenue","Lyndhurst","$749,000","12/18/2025","$749,000","2 Fam","","4,225","5","2","0"
"1","26000551","S","153","2to4","57 Richmond Street","Lodi","$740,000","12/30/2025","$699,000","2 Fam","","3,751","5","3","0"
"1","25031345","S","65","2to4","104 Echo Place","Elmwood Park","$730,000","12/12/2025","$699,000","2 Fam","","7,501","5","3","0"
"1","25028949","S","36","2to4","240 Hamilton Place","Hackensack","$725,000","12/30/2025","$749,000","2 Fam","","6,251","3","2","1"
"1","25032950","S","48","2to4","72 Hayward Place","Wallington","$719,700","12/10/2025","$779,000","3 Fam","","5,009","6","3","1"
"1","25035296","S","19","2to4","190 Madison Avenue","Midland Park","$716,000","12/05/2025","$699,000","2 Fam","","18,750","4","2","0"
"1","25036682","S","18","2to4","50 Grand Street","Garfield","$710,000","12/19/2025","$699,000","2 Fam","","","5","4","0"
"1","25043770","S","83","2to4","39 Farview Avenue","Paramus","$700,000","12/22/2025","$700,000","2 Fam","","9,547","4","2","0"
"1","25032897","S","27","2to4","288 Outwater Lane","Garfield","$700,000","12/30/2025","$689,000","2 Fam","","4,142","4","2","1"
"1","25022156","S","49","2to4","12 Macarthur           ","Hasbrouck Heights","$685,000","12/15/2025","$689,000","2 Fam","","6,813","5","2","0"
"1","25035760","S","25","2to4","86 W Main Street","Bergenfield","$680,000","12/12/2025","$699,000","2 Fam","","5,249","5","2","1"
"1","25035175","S","14","2to4","70 Hille Place","Ridgefield Park","$680,000","12/30/2025","$650,000","2 Fam","","","3","3","0"
"1","25037508","S","27","2to4","123 Westminster Place","Garfield","$655,000","12/17/2025","$559,000","2 Fam","","5,188","4","2","0"
"1","25027049","S","42","2to4","32 Pasadena Avenue","Lodi","$650,000","12/16/2025","$599,000","2 Fam","","3,999","4","2","0"
"1","25038494","S","19","2to4","355 Elm                  Street","Elmwood Park","$640,000","12/29/2025","$569,000","2 Fam","","","4","2","0"
"1","25016350","S","40","2to4","79 Arthur Street","Ridgefield Park","$635,000","12/23/2025","$610,000","2 Fam","","3,999","2","2","1"
"1","25037446","S","34","2to4","12 Boyd Street","Lodi","$634,000","12/05/2025","$595,000","2 Fam","","5,428","5","2","0"
"1","25036563","S","12","2to4","541 Moonachie Road","South Hackensack","$625,000","12/16/2025","$599,000","2 Fam","","5,149","5","2","0"
"1","25019416","S","87","2to4","507 Washington Street","Carlstadt","$625,000","12/09/2025","$659,000","2 Fam","","5,001","2","3","0"
"1","25023798","S","33","2to4","79 Eagle Street","North Arlington","$620,000","12/15/2025","$625,000","2 Fam","","2,548","5","2","0"
"1","25032917","S","8","2to4","117 Elizabeth Street","Garfield","$575,000","12/11/2025","$615,000","2 Fam","","5,000","5","3","0"
"1","25037903","S","11","2to4","126 Plauderville Avenue","Garfield","$525,000","12/24/2025","$470,000","2 Fam","","3,750","2","2","0"
