"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths"
"1","25038076","S","3","CCT","9 Stone Bridge Court","Demarest","$3,225,000","12/15/2025","$3,225,000","TWNHS","","","4","4","1"
"1","25044225","S","1","CCT","21 Stone Bridge Court","Demarest","$2,950,000","12/31/2025","$2,950,000","TWNHS","","","4","4","1"
"1","25029924","S","91","CCT","34 Shore Road Unit#34S","Edgewater","$2,900,000","12/24/2025","$3,050,000","Co-op","2,496","","3","2","1"
"1","25012419","S","129","CCT","1234 River Road","Edgewater","$1,900,000","12/02/2025","$1,950,000","TWNHS","","","4","3","2"
"1","25038187","S","31","CCT","718 Undercliff Avenue","Edgewater","$1,590,000","12/29/2025","$1,615,000","TWNHS","4,000","","4","4","1"
"1","25027449","S","117","CCT","1062 Anderson Avenue","Fort Lee","$1,550,000","12/20/2025","$1,680,000","TWNHS","3,933","","4","4","1"
"1","25028871","S","114","CCT","714 Undercliff Avenue Unit#714","Edgewater","$1,520,000","12/24/2025","$1,615,000","TWNHS","4,000","","4","4","1"
"1","25020140","S","106","CCT","2286 7th                  Avenue","Fort Lee","$1,520,000","12/06/2025","$1,549,999","TWNHS","","","4","4","1"
"1","25029626","S","57","CCT","439 B 1st                  Street","Palisades Park","$1,475,000","12/03/2025","$1,525,000","Condo","","","3","2","2"
"1","25036117","S","22","CCT","30 Henry Avenue Unit#A","Palisades Park","$1,415,000","12/08/2025","$1,399,000","TWNHS","2,336","","4","3","1"
"1","25025562","S","70","CCT","179 Woodmont             Circle","River Vale","$1,400,000","12/15/2025","$1,475,000","TWNHS","","","3","3","2"
"1","25037760","S","5","CCT","2158 Jones Road","Fort Lee","$1,380,000","12/20/2025","$1,488,888","TWNHS","","","3","3","1"
"1","25032022","S","18","CCT","86 Oakdene Avenue Unit#1","Palisades Park","$1,360,000","12/18/2025","$1,398,888","TWNHS","2,852","","4","3","1"
"1","25014860","S","184","CCT","264 11th Street Unit#Unit B","Palisades Park","$1,345,000","12/23/2025","$1,388,000","Condo","","","4","3","1"
"1","25038744","S","17","CCT","142 Ashley Place","Park Ridge","$1,300,000","12/19/2025","$1,099,000","TWNHS","3,328","","3","3","1"
"1","25036557","S","11","CCT","45 Windsor              Lane","Ramsey","$1,300,000","12/16/2025","$1,275,000","Condo","","","3","2","1"
"1","25035810","S","31","CCT","393 Lincoln Avenue","Cliffside Park","$1,260,000","12/19/2025","$1,299,000","TWNHS","3,200","","3","3","2"
"1","25038408","S","27","CCT","1545 13th Street","Fort Lee","$1,255,000","12/19/2025","$1,295,000","TWNHS","2,966","","3","3","1"
"1","25025636","S","97","CCT","801A Edgewood Lane","Fort Lee","$1,230,000","12/10/2025","$1,290,000","Condo","","","3","2","3"
"1","25026068","S","70","CCT","110 Mason Court Unit#2H","Haworth","$1,225,000","12/03/2025","$1,249,995","TWNHS","3,311","","3","2","2"
"1","25035141","S","29","CCT","212 E Harriet Avenue Unit#A","Palisades Park","$1,200,000","12/23/2025","$1,200,000","Condo","","","4","3","1"
"1","25028801","S","40","CCT","54 Goldfinch Drive","Upper Saddle River","$1,200,000","12/23/2025","$1,399,000","TWNHS","3,010","","3","2","2"
"1","25031111","S","36","CCT","185 Kensington Drive","Fort Lee","$1,190,000","12/18/2025","$1,250,000","TWNHS","2,792","","4","3","1"
"1","25038558","S","3","CCT","23 Gabriel              Court Unit#23","Paramus","$1,175,000","12/16/2025","$1,175,000","TWNHS","","","3","2","2"
"1","25030670","S","56","CCT","13 Gabriel              Court Unit#13","Paramus","$1,175,000","12/05/2025","$1,175,000","TWNHS","","","3","2","2"
"1","25042812","S","2","CCT","362 Lafayette Avenue Unit#A","Cliffside Park","$1,170,000","12/22/2025","$1,199,000","TWNHS","","","4","3","2"
"1","25036911","S","21","CCT","201 Orchard Terrace","Cresskill","$999,000","12/08/2025","$999,999","TWNHS","1,942","","4","2","2"
"1","25034630","S","9","CCT","1600 Kaufer Lane Unit#10","Fort Lee","$999,000","12/09/2025","$975,000","TWNHS","2,850","","3","4","0"
"1","25026511","S","83","CCT","238 Jersey Avenue Unit#C0238","Cliffside Park","$999,000","12/01/2025","$1,050,000","TWNHS","2,411","","3","3","2"
"1","25013269","S","119","CCT","900 Palisade Avenue Unit#11L","Fort Lee","$995,000","12/08/2025","$995,000","Condo","2,570","","2","3","1"
"1","25037048","S","20","CCT","476 Lincoln Avenue Unit#1","Cliffside Park","$985,000","12/18/2025","$999,000","Condo","","","3","3","0"
"1","25039872","S","14","CCT","473 Undercliff Avenue","Edgewater","$980,000","12/22/2025","$988,000","TWNHS","1,630","","3","2","1"
"1","25039954","S","10","CCT","146B Myrtle               Avenue","Fort Lee","$975,000","12/19/2025","$975,000","TWNHS","","","3","3","1"
"1","25031359","S","43","CCT","319 E Central              Boulevard Unit#A","Palisades Park","$975,000","12/05/2025","$1,070,000","Condo","2,500","","3","3","1"
"1","25037605","S","17","CCT","110 E Edsall Avenue Unit#B","Palisades Park","$970,000","12/29/2025","$985,000","Condo","","","3","3","1"
"1","25038974","S","40","CCT","4 Trotter Way","Oakland","$960,000","12/30/2025","$993,340","TWNHS","","","3","3","1"
"1","25035162","S","13","CCT","289 Bradley Drive","Wood Ridge","$955,000","12/30/2025","$930,000","TWNHS","2,258","","3","2","2"
"1","25038990","S","28","CCT","121 Winding Creek        Way","Old Tappan","$945,000","12/01/2025","$959,000","TWNHS","3,200","","3","3","1"
"1","25034855","S","22","CCT","236 Columbus Avenue Unit#5","Palisades Park","$926,000","12/03/2025","$900,000","TWNHS","1,828","","3","3","1"
"1","25026895","S","62","CCT","472 Central Boulevard","Fort Lee","$920,000","12/04/2025","$988,000","TWNHS","","","3","3","1"
"1","25033464","S","18","CCT","27 Roosevelt Drive","Wood Ridge","$902,000","12/05/2025","$895,000","TWNHS","2,258","","3","2","2"
"1","25037862","S","20","CCT","1600 Kaufer Lane Unit#16","Fort Lee","$900,000","12/15/2025","$925,000","TWNHS","1,796","","3","3","0"
"1","25032754","S","22","CCT","1627 Ponsi                Street Unit#B","Fort Lee","$899,000","12/01/2025","$899,000","TWNHS","","","3","3","1"
"1","25036749","S","28","CCT","139 Stonegate Trail","Cresskill","$895,000","12/12/2025","$915,000","TWNHS","2,068","","3","2","2"
"1","25028740","S","27","CCT","1530 Palisade             Avenue Unit#1L","Fort Lee","$895,000","12/23/2025","$895,000","Co-op","","","3","2","1"
"1","25038267","S","9","CCT","28 Woods Edge Road","Old Tappan","$850,000","12/03/2025","$719,900","TWNHS","1,200","","2","3","0"
"1","25038250","S","14","CCT","100 Carlyle              Drive Unit#9DN","Cliffside Park","$840,000","12/12/2025","$849,900","Condo","1,572","","2","2","1"
"1","25035853","S","20","CCT","111 Washington Avenue","Fort Lee","$833,000","12/17/2025","$789,000","TWNHS","2,070","","2","3","1"
"1","25039863","S","11","CCT","18 Peach Hill Court","Ramsey","$825,000","12/18/2025","$779,000","Condo","2,016","","2","3","1"
"1","25033436","S","50","CCT","592 Windsor Drive","Palisades Park","$820,000","12/17/2025","$835,000","TWNHS","1,853","","3","2","1"
"1","25031563","S","32","CCT","49 Litchult Lane","Mahwah","$810,000","12/05/2025","$725,000","TWNHS","","","2","2","1"
"1","25023612","S","103","CCT","100 Carlyle              Drive Unit#9AS","Cliffside Park","$799,000","12/05/2025","$799,000","Condo","1,650","","2","2","0"
"1","25033915","S","14","CCT","148 Panorama Drive","Edgewater","$785,000","12/15/2025","$799,999","TWNHS","1,428","","2","2","1"
"1","25032569","S","68","CCT","17 Cumbermeade Road Unit#102","Fort Lee","$785,000","12/26/2025","$779,000","Condo","2,048","","3","3","0"
"1","25036703","S","26","CCT","176 Delhagen Court","Mahwah","$780,000","12/05/2025","$739,000","TWNHS","2,143","","3","2","1"
"1","25038091","S","20","CCT","33 Landmark Lane Unit#1015","Fair Lawn","$775,000","12/03/2025","$769,000","TWNHS","1,935","","3","3","1"
"1","25031913","S","16","CCT","1530 Palisades            Unit#7J","Fort Lee","$765,000","12/12/2025","$765,000","Co-op","1,850","","2","2","1"
"1","25030839","S","58","CCT","1508 Whitney Lane Unit#1508","Allendale","$765,000","12/18/2025","$739,999","TWNHS","1,775","","2","2","0"
"1","25030001","S","18","CCT","2445 6th Street","Fort Lee","$760,000","12/22/2025","$699,000","TWNHS","1,880","","2","2","2"
"1","26000565","S","39","CCT","161 Pond Drive Unit#13E","Township of Washington","$750,000","12/30/2025","$748,000","TWNHS","1,560","","2","2","1"
"1","25036547","S","8","CCT","97 Frost Lane","Mahwah","$750,000","12/02/2025","$749,000","TWNHS","1,932","","3","2","1"
"1","25032293","S","19","CCT","1406 Whitney Lane Unit#1406","Allendale","$750,000","12/19/2025","$715,000","Condo","1,229","","2","2","0"
"1","25039879","S","11","CCT","1077 River                Road Unit#PH12","Edgewater","$749,900","12/22/2025","$749,900","Condo","1,493","","2","2","0"
"1","25034329","S","4","CCT","1055 River Road Unit#1012","Edgewater","$749,000","12/23/2025","$749,000","Condo","1,493","","2","2","0"
"1","25019495","S","63","CCT","289 Vista View Drive","Mahwah","$749,000","12/09/2025","$749,000","TWNHS","2,309","","3","3","1"
"1","25039926","S","8","CCT","102 Liberty Street Unit#A","Lodi","$740,000","12/30/2025","$735,000","TWNHS","2,000","","3","3","1"
"1","25033380","S","5","CCT","16 Carriage Lane","Ridgewood","$726,000","12/01/2025","$675,000","TWNHS","1,760","","2","2","1"
"1","25025318","S","57","CCT","39 Litchult Lane","Mahwah","$725,000","12/03/2025","$750,000","Condo","1,896","","2","3","1"
"1","25037771","S","11","CCT","1 Westley Lane","New Milford","$701,000","12/15/2025","$635,000","TWNHS","1,810","","4","3","1"
"1","25036867","S","19","CCT","200 Old Palisade         Road Unit#7C","Fort Lee","$700,000","12/11/2025","$720,000","Condo","1,544","","2","2","0"
"1","25034920","S","12","CCT","17 Allison Court","Allendale","$690,000","12/08/2025","$669,000","TWNHS","1,768","","2","2","1"
"1","25028910","S","37","CCT","855 Kinderkamack Road","River Edge","$685,000","12/16/2025","$699,000","TWNHS","1,782","","3","2","1"
"1","25033919","S","43","CCT","814 Hemlock Court","Norwood","$675,000","12/02/2025","$725,000","TWNHS","2,093","","3","2","1"
"1","25037732","S","14","CCT","188 Grandview Lane","Mahwah","$670,000","12/12/2025","$599,000","TWNHS","1,831","","2","2","1"
"1","25028245","S","92","CCT","200 Winston Drive Unit#C2808","Cliffside Park","$670,000","12/01/2025","$685,000","Condo","1,963","","3","2","1"
"1","25021679","S","139","CCT","300 Winston              Unit#1822","Cliffside Park","$665,000","12/18/2025","$665,000","Condo","1,805","","3","3","0"
"1","25026329","S","109","CCT","320 Adolphus Avenue Unit#612","Cliffside Park","$663,000","12/23/2025","$675,000","Condo","1,205","","2","2","0"
"1","25030298","S","52","CCT","348 French Court Unit#348","Teaneck","$660,000","12/19/2025","$649,000","Condo","","","3","2","1"
"1","25036775","S","13","CCT","317 Hancock              Court","Edgewater","$640,000","12/10/2025","$618,000","Condo","1,122","","2","2","0"
"1","25031770","S","36","CCT","17 Chamberlain Avenue Unit#B","Little Ferry","$640,000","12/19/2025","$659,000","Condo","1,630","","3","2","1"
"1","25031050","S","83","CCT","102 Wesmont Drive","Wood Ridge","$640,000","12/29/2025","$645,300","TWNHS","1,328","","2","3","0"
"1","25025627","S","75","CCT","100 Old Palisade Road Unit#1602","Fort Lee","$638,000","12/18/2025","$650,000","Condo","1,365","","2","2","0"
"1","25036465","S","33","CCT","800 12th                 Unit#308","Palisades Park","$635,000","12/09/2025","$639,888","Condo","1,126","","2","2","0"
"1","25034318","S","30","CCT","200 Winston              Unit#509","Cliffside Park","$633,000","12/19/2025","$639,900","Condo","1,805","","3","3","0"
"1","25031249","S","46","CCT","350 The Promenade Unit#350","Edgewater","$630,100","12/22/2025","$658,000","Condo","1,500","","2","2","0"
"1","25035070","S","15","CCT","301 Ellery Court","Edgewater","$628,000","12/19/2025","$618,000","Condo","1,293","","2","2","0"
"1","25027534","S","85","CCT","151 Winchester Court Unit#151B","Township of Washington","$625,000","12/03/2025","$665,000","TWNHS","1,885","","3","2","1"
"1","25037846","S","14","CCT","54 Pine Lake Terrace Unit#T054","River Vale","$620,000","12/09/2025","$619,000","Condo","1,137","","2","2","1"
"1","25036392","S","19","CCT","800 12th Street Unit#506","Palisades Park","$610,000","12/12/2025","$629,000","Condo","1,077","","2","2","0"
"1","25036529","S","14","CCT","1115 Windsor Park Court","Englewood","$600,000","12/09/2025","$585,000","Condo","1,288","","2","2","0"
"1","25036254","S","5","CCT","18 Mallard             ","Englewood","$600,000","12/16/2025","$550,000","Condo","2,000","","2","2","0"
"1","25034316","S","12","CCT","48 Main Street Unit#1","Little Ferry","$600,000","12/12/2025","$599,000","TWNHS","1,494","","2","2","1"
"1","25035770","S","8","CCT","1055 River                Road Unit#209","Edgewater","$580,000","12/19/2025","$595,000","Condo","","","2","2","0"
