"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths"
"1","25030651","S","28","RES","118 Hoover Drive","Cresskill","$3,425,000","12/19/2025","$3,380,000","Colonial","","40,006","6","5","3"
"1","25004459","S","209","RES","825 E Saddle River Road","Ho-Ho-Kus","$3,150,000","12/18/2025","$3,250,000","Colonial","","74,052","8","6","2"
"1","25030581","S","32","RES","502 Timberline Drive","Franklin Lakes","$3,050,000","12/16/2025","$3,100,888","Colonial","","42,689","5","6","2"
"1","25029916","S","91","RES","34 Shore Road","Edgewater","$2,900,000","12/24/2025","$3,050,000","Contemp","","2,495","3","2","1"
"1","25020569","S","14","RES","51 Harrison Street","Haworth","$2,820,000","12/23/2025","$2,750,000","Colonial","","11,526","6","5","0"
"1","25029985","S","11","RES","298 Booth Avenue","Englewood","$2,475,000","12/19/2025","$2,475,000","Colonial","","23,549","7","6","1"
"1","25018508","S","29","RES","26 Gaynor Place","Glen Rock","$2,350,000","12/30/2025","$2,450,000","Colonial","","10,498","6","5","1"
"1","25038412","S","19","RES","150 E Village Circle","Paramus","$2,150,000","12/23/2025","$2,124,900","Colonial","","9,760","6","5","1"
"1","25030924","S","79","RES","12 Summit Street","Englewood Cliffs","$2,075,000","12/30/2025","$2,250,000","Colonial","","6,930","5","5","1"
"1","25039027","S","7","RES","271 Orchard Place","Ridgewood","$2,000,000","12/18/2025","$1,650,000","Colonial","","13,460","5","3","1"
"1","25031363","S","9","RES","26 Hampshire Road","Mahwah","$1,999,999","12/18/2025","$2,000,000","Colonial","","40,075","6","6","0"
"1","25030804","S","66","RES","1 Sipporta Lane","Paramus","$1,999,999","12/31/2025","$2,199,900","Colonial","","17,887","6","5","1"
"1","25032434","S","26","RES","20 Van Schaik Lane","Wyckoff","$1,995,000","12/16/2025","$2,075,000","Colonial","","28,763","4","3","1"
"1","25037840","S","6","RES","45 Lowell Road","Glen Rock","$1,945,000","12/18/2025","$1,695,000","Ranch","","18,809","4","3","1"
"1","25025919","S","122","RES","130 Durie Avenue","Closter","$1,918,000","12/22/2025","$1,950,000","Colonial","","32,836","6","4","1"
"1","25016752","S","122","RES","716 Galloping Hill Road","Franklin Lakes","$1,910,000","12/19/2025","$1,945,000","Colonial","","57,238","6","5","0"
"1","25030391","S","77","RES","267 Linden Avenue","Englewood","$1,900,000","12/29/2025","$1,995,000","Colonial","","40,119","5","4","1"
"1","25034095","S","54","RES","1044 Fairview Lane","Fort Lee","$1,850,000","12/31/2025","$1,880,000","Colonial","","5,602","4","4","1"
"1","25031176","S","80","RES","35 Lillian Court","Ramsey","$1,800,000","12/23/2025","$1,800,000","Colonial","","23,087","6","7","0"
"1","25031131","S","76","RES","99 Old Hook Road","Closter","$1,758,500","12/19/2025","$1,799,000","Contemp","","14,375","5","4","1"
"1","25033585","S","54","RES","209 Cornwall Road","Glen Rock","$1,750,000","12/19/2025","$1,798,000","Colonial","","11,809","5","4","0"
"1","25024842","S","49","RES","91 Wierimus Road","Hillsdale","$1,750,000","12/17/2025","$1,650,000","Colonial","","53,250","5","5","1"
"1","25029664","S","28","RES","110 Hazel                Court","Norwood","$1,650,000","12/19/2025","$1,699,000","Colonial","","","6","4","1"
"1","25032260","S","53","RES","4 Point View","Oakland","$1,600,000","12/18/2025","$1,397,500","Colonial","","29,359","4","4","1"
"1","25025873","S","59","RES","3 Laura Lane","Oakland","$1,600,000","12/17/2025","$1,650,000","Colonial","","78,539","5","4","1"
"1","25032284","S","58","RES","856 Stonewall Court","Franklin Lakes","$1,565,000","12/19/2025","$1,599,000","Colonial","","40,816","4","3","1"
"1","25034742","S","10","RES","90 Arcadia Road","Allendale","$1,560,000","12/22/2025","$1,395,000","Split","","19,036","5","3","1"
"1","25032646","S","48","RES","25 Fairview Avenue","Closter","$1,560,000","12/19/2025","$1,580,000","Colonial","","15,682","5","2","1"
"1","26000425","S","41","RES","1104 Boulevard","New Milford","$1,550,000","12/30/2025","$1,600,000","Colonial","","7,501","6","5","0"
"1","25038637","S","17","RES","75 Bergen Street","Westwood","$1,548,000","12/30/2025","$1,599,888","Colonial","","7,501","5","4","1"
"1","25040474","S","12","RES","208 Bellair Road","Ridgewood","$1,500,000","12/30/2025","$1,279,000","Colonial","","10,395","4","2","1"
"1","25026109","S","72","RES","519 E Palisade Avenue","Englewood Cliffs","$1,500,000","12/26/2025","$1,538,000","Colonial","","5,998","4","4","1"
"1","25025935","S","65","RES","10 Corrigan             Way","Old Tappan","$1,450,000","12/16/2025","$1,475,000","Colonial","","","5","3","1"
"1","25033702","S","26","RES","134 Glenwood Road","Englewood","$1,400,000","12/29/2025","$1,399,000","Colonial","","19,001","4","3","1"
"1","25030505","S","52","RES","152 W Clinton Avenue","Tenafly","$1,395,000","12/22/2025","$1,275,000","Colonial","","6,885","4","2","1"
"1","25036182","S","9","RES","98 Prescott Street","Demarest","$1,385,000","12/18/2025","$1,299,999","Split","","10,019","4","3","0"
"1","25035216","S","31","RES","13-27 Hedman Place","Fair Lawn","$1,360,000","12/16/2025","$1,425,000","Contemp","","5,502","5","5","0"
"1","25029333","S","65","RES","796 Wyckoff Avenue","Mahwah","$1,359,999","12/26/2025","$1,359,999","Colonial","","","5","4","1"
"1","25036453","S","7","RES","522 High Road","River Vale","$1,359,000","12/19/2025","$1,349,000","Colonial","","26,410","4","3","1"
"1","26000951","S","58","RES","36 Snyder Avenue","Ramsey","$1,350,000","12/16/2025","$1,350,000","Colonial","","15,002","4","2","1"
"1","25034669","S","45","RES","110 Ackerman Avenue","Ho-Ho-Kus","$1,320,000","12/22/2025","$1,399,000","Ranch","","12,502","3","2","1"
"1","25038496","S","17","RES","10 Garden Court","Township of Washington","$1,310,000","12/16/2025","$1,250,000","BiLvl","","22,499","5","3","0"
"1","25037354","S","6","RES","273 W Englewood Avenue","Teaneck","$1,308,000","12/17/2025","$1,199,000","Colonial","","7,200","5","4","1"
"1","25039138","S","10","RES","20 Stephan Court","Woodcliff Lake","$1,305,180","12/23/2025","$1,259,000","Colonial","","26,402","5","3","1"
"1","25033589","S","22","RES","15 Burns Place","Cresskill","$1,300,000","12/29/2025","$1,199,000","Split","","10,102","4","3","0"
"1","25036521","S","10","RES","727 Dakota Trail","Franklin Lakes","$1,260,000","12/19/2025","$1,250,000","Colonial","","42,253","4","2","1"
"1","25031953","S","59","RES","23 Herlihy Drive","Mahwah","$1,260,000","12/17/2025","$1,199,000","Colonial","","46,877","5","2","1"
"1","26000780","S","36","RES","8 Split Rock Road","Upper Saddle River","$1,250,000","12/23/2025","$1,199,000","Colonial","","53,143","4","2","1"
"1","25033817","S","26","RES","868 Meadow Lane","Franklin Lakes","$1,250,000","12/22/2025","$960,000","BiLvl","","63,162","4","3","1"
