"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths","Garage Spaces","Pool YN","Tax Annual Amount"
"1","26022720","S","18","RES","26 Glen Carl Road","Upper Saddle River","$5,325,000","06/16/2026","$5,495,000","Colonial","","59,242","7","9","1","3","Yes","$44,882"
"1","26004703","S","27","RES","187 Buckingham Road","Tenafly","$4,900,000","06/18/2026","$5,000,000","Colonial","","40,075","7","6","2","3","Yes","$78,933"
"1","26003108","S","85","RES","128 Birch Road","Franklin Lakes","$4,850,000","06/30/2026","$5,395,000","Colonial","","70,349","6","8","2","5","Yes","$44,481"
"1","26008897","S","19","RES","97 Heights Road","Ridgewood","$4,750,000","06/16/2026","$4,750,000","Colonial","","39,988","6","7","3","3","Yes","$87,122"
"1","25030352","S","171","RES","417 Route 9w            ","Alpine","$4,500,000","06/17/2026","$4,688,000","Colonial","","103,673","7","6","1","3","Yes","$25,767"
"1","26013024","S","12","RES","11 Alford Drive","Saddle River","$4,425,000","06/25/2026","$4,599,999","Colonial","","89,298","5","5","1","4","Yes","$30,657"
"1","25008771","S","341","RES","74 Roberts Road","Englewood Cliffs","$4,050,000","06/23/2026","$3,988,000","Colonial","","24,337","6","7","1","3","No","$32,380"
"1","26010696","S","18","RES","2 Saddle Brook Drive","Ho-Ho-Kus","$3,800,000","06/30/2026","$3,800,000","Colonial","","43,560","6","7","1","3","No","$72,529"
"1","26013643","S","18","RES","89 Depeyster Avenue","Tenafly","$3,525,000","06/26/2026","$3,600,000","Colonial","","22,399","6","5","2","3","No","$56,205"
"1","26008976","S","7","RES","16 Norman Place","Tenafly","$3,349,000","06/25/2026","$3,400,000","Colonial","","19,001","6","4","1","3","No","$45,570"
"1","26012020","S","12","RES","390 Lavelle Court","Wyckoff","$3,300,000","06/16/2026","$2,895,000","Colonial","","31,890","5","4","1","3","Yes","$28,070"
"1","26003869","S","48","RES","21 Priscilla Lane","Englewood Cliffs","$3,300,000","06/22/2026","$3,750,000","Colonial","","12,001","7","6","2","3","No","$31,826"
"1","26006799","S","58","RES","84 Depeyster Avenue","Tenafly","$3,275,000","06/25/2026","$3,499,000","Colonial","","14,619","6","6","1","2","Yes","$0"
"1","26010063","S","25","RES","14 Old Smith Road","Tenafly","$3,150,000","06/26/2026","$3,288,000","Colonial","","38,640","5","4","1","","No","$36,220"
"1","26012721","S","7","RES","76 Dimmig Road","Upper Saddle River","$3,085,000","06/30/2026","$2,795,000","Colonial","","37,462","5","4","1","3","Yes","$32,963"
"1","26014101","S","4","RES","15 Eric Place","Demarest","$2,925,000","06/30/2026","$2,850,000","Colonial","","14,810","5","5","1","3","No","$40,042"
"1","26004212","S","220","RES","54 Windsor Road","Tenafly","$2,875,000","06/24/2026","$2,900,000","Colonial","","8,925","6","6","0","2","No","$0"
"1","26001357","S","24","RES","868 Pueblo Drive","Franklin Lakes","$2,875,000","06/29/2026","$2,899,000","Colonial","","40,946","6","5","1","3","No","$37,984"
"1","26008843","S","9","RES","22 Sunset Lane","Upper Saddle River","$2,860,000","06/29/2026","$2,679,000","Colonial","","37,462","5","4","3","3","No","$36,360"
"1","26002690","S","104","RES","2 Stewart Court","Old Tappan","$2,850,000","06/23/2026","$2,950,000","Colonial","","40,946","5","6","1","3","Yes","$32,844"
"1","26011011","S","9","RES","43 Twin Brooks Road","Saddle River","$2,600,000","06/17/2026","$1,999,999","Colonial","","87,120","4","4","1","2","No","$15,445"
"1","26004629","S","6","RES","38 Geraldine Road","Englewood Cliffs","$2,600,000","06/30/2026","$2,499,000","Contemp","","13,299","5","4","1","3","Yes","$17,370"
"1","26019484","S","7","RES","208 N Walnut Street","Ridgewood","$2,450,000","06/29/2026","$1,850,000","Colonial","","10,367","5","3","1","2","No","$23,296"
"1","26005811","S","34","RES","250 Truman Drive","Cresskill","$2,450,000","06/30/2026","$2,599,000","Colonial","","43,124","4","3","2","3","No","$36,687"
"1","26012246","S","16","RES","90 Columbus Drive","Tenafly","$2,425,000","06/25/2026","$2,499,000","Colonial","","7,349","5","4","1","2","No","$28,421"
"1","26023443","S","61","RES","2 N Brae Court","Tenafly","$2,400,000","06/16/2026","$2,350,000","Ranch","","24,202","5","5","1","2","No","$28,059"
"1","26014163","S","7","RES","408 Drury Lane","Wyckoff","$2,300,000","06/18/2026","$1,995,000","Colonial","","25,091","4","4","1","3","Yes","$28,277"
"1","26008117","S","18","RES","18 Sunflower Drive","Upper Saddle River","$2,280,000","06/22/2026","$2,399,000","Colonial","","44,780","5","5","1","3","No","$29,137"
"1","26004664","S","9","RES","388 Beveridge Road","Ridgewood","$2,255,000","06/30/2026","$1,699,000","Split","","9,017","5","3","1","2","No","$19,940"
"1","26003860","S","7","RES","244 Ackerman Avenue","Ho-Ho-Kus","$2,225,000","06/30/2026","$1,820,000","Colonial","","11,914","4","2","1","1","No","$23,757"
"1","26024611","S","40","RES","39 Ferndale Road","Paramus","$2,200,000","06/29/2026","$2,200,000","Colonial","","10,163","6","5","1","2","No","$11,162"
"1","26015392","S","11","RES","42 Lakewood Avenue","Ho-Ho-Kus","$2,200,000","06/30/2026","$1,875,000","Colonial","","16,380","4","3","1","2","No","$25,002"
"1","25043089","S","19","RES","116 Lydecker Street","Englewood","$2,150,000","06/24/2026","$1,998,000","Colonial","","18,787","5","3","0","","No","$26,789"
"1","26010622","S","8","RES","46 Van Blarcom Lane","Wyckoff","$2,125,000","06/16/2026","$1,799,000","Colonial","","32,748","5","4","1","2","Yes","$19,305"
"1","26005982","S","40","RES","213 Stokes Farm Road","Franklin Lakes","$2,100,000","06/25/2026","$1,999,000","Colonial","","56,018","4","3","1","3","No","$34,056"
