"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths","Garage Spaces","Pool YN","Tax Annual Amount"
"1","26011897","S","18","RES","971 Garrison Avenue","Teaneck","$680,000","06/25/2026","$609,000","Colonial","","5,001","3","2","0","","No","$11,700"
"1","26011746","S","13","RES","535 Cleveland Avenue","River Vale","$680,000","06/24/2026","$699,000","Colonial","","5,001","3","2","0","1","No","$12,063"
"1","26010920","S","25","RES","40 3rd Avenue","Westwood","$680,000","06/16/2026","$670,000","Colonial","","5,149","3","2","0","2","No","$11,236"
"1","26008779","S","21","RES","55 Rutgers Place","River Edge","$678,000","06/24/2026","$687,000","Cape Cod","","","3","2","0","1","No","$12,069"
"1","26015403","S","15","RES","40 17th Avenue","Elmwood Park","$675,000","06/30/2026","$599,000","Ranch","","7,501","3","2","1","1","No","$12,437"
"1","26014694","S","21","RES","91 Hasbrouck Avenue","Emerson","$675,000","06/30/2026","$649,900","Split","","7,200","3","2","0","1","No","$12,842"
"1","26011552","S","10","RES","428 Innes Road","Wood Ridge","$675,000","06/30/2026","$634,000","Colonial","","5,001","3","2","0","0","No","$9,568"
"1","26006138","S","31","RES","20 Bergen Avenue","North Arlington","$675,000","06/18/2026","$639,999","Colonial","","4,779","3","1","1","","Yes","$12,077"
"1","26011113","S","22","RES","14-09 George Street","Fair Lawn","$670,000","06/26/2026","$579,000","Cape Cod","","3,899","4","1","0","2","No","$10,045"
"1","26016905","S","11","RES","44 Golf Court","Teaneck","$668,000","06/23/2026","$679,999","Colonial","","5,001","3","2","0","","No","$10,816"
"1","26014452","S","9","RES","37-10 Fair Lawn Avenue","Fair Lawn","$660,000","06/18/2026","$599,000","Cape Cod","","6,325","4","1","0","1","No","$9,987"
"1","26015958","S","10","RES","26 Bennett Road","Teaneck","$655,000","06/17/2026","$585,000","Cape Cod","","5,001","2","2","0","","No","$10,843"
"1","26010400","S","10","RES","182 Carlson Place","Bergenfield","$655,000","06/18/2026","$569,900","Cape Cod","","4,600","3","2","0","","No","$10,560"
"1","26017069","S","6","RES","27-20 Kipp                ","Fair Lawn","$650,000","06/24/2026","$590,000","Cape Cod","","5,001","3","2","0","1","No","$9,174"
"1","26014344","S","36","RES","41 Center Street","Midland Park","$650,000","06/30/2026","$599,999","Cape Cod","","6,752","3","2","0","3","No","$11,630"
"1","26014155","S","12","RES","2-05 33rd Street","Fair Lawn","$650,000","06/30/2026","$550,000","Colonial","","5,001","3","1","0","1","No","$8,757"
"1","26013369","S","12","RES","365 Highland Street","Englewood","$650,000","06/24/2026","$599,900","Colonial","","5,001","3","2","0","0","No","$8,157"
"1","26010547","S","15","RES","278 Marvin Avenue","Hackensack","$650,000","06/30/2026","$625,000","Split","","6,299","3","2","0","1","No","$12,194"
"1","26003734","S","30","RES","15-47 Elmary Place","Fair Lawn","$645,000","06/17/2026","$629,000","Cape Cod","","6,499","3","2","1","1","No","$9,167"
"1","25040555","S","104","RES","67 Spring Valley Avenue","Hackensack","$645,000","06/16/2026","$799,000","Colonial","","7,501","2","1","1","","No","$12,258"
"1","26012838","S","15","RES","70 Skyline Drive","Oakland","$640,000","06/18/2026","$629,000","Ranch","","37,418","4","2","0","1","Yes","$11,495"
"1","26010006","S","7","RES","60 16th Avenue","Elmwood Park","$640,000","06/29/2026","$549,000","Cape Cod","","5,001","3","2","0","0","No","$8,805"
"1","26005506","S","26","RES","149 Allen Street","Hackensack","$640,000","06/26/2026","$625,000","Ranch","","7,501","2","1","1","2","No","$11,780"
"1","26011548","S","7","RES","29 Lindbergh Parkway","Waldwick","$635,000","06/24/2026","$500,000","Split","","5,998","3","2","0","0","No","$10,181"
"1","25038194","S","182","RES","177 Pierrepont Avenue","Rutherford","$630,000","06/24/2026","$668,888","Colonial","","3,476","4","2","0","2","No","$10,901"
"1","26009870","S","16","RES","111 Doty Road","Oakland","$629,000","06/30/2026","$599,900","Colonial","","9,888","4","3","0","1","Yes","$7,662"
"1","26014444","S","17","RES","2-30 32nd Street","Fair Lawn","$626,000","06/19/2026","$649,900","Cape Cod","","5,301","3","2","0","1","No","$10,020"
"1","26002793","S","90","RES","74 Avenue E            ","Lodi","$625,000","06/18/2026","$619,000","Cape Cod","","5,001","3","2","0","0","Yes","$10,222"
"1","26011976","S","11","RES","27 Jagoe Street","Bergenfield","$620,000","06/16/2026","$549,000","Cape Cod","","4,800","4","2","0","1","No","$10,843"
"1","26011519","S","43","RES","71 Madison Street","Wood Ridge","$620,000","06/30/2026","$625,000","Cape Cod","","5,001","3","1","1","0","No","$9,631"
"1","26013811","S","8","RES","137 Lincoln Place","Waldwick","$615,000","06/16/2026","$529,999","Cape Cod","","7,501","3","1","0","1","No","$9,481"
"1","26018119","S","9","RES","12 Beverly Lane","Waldwick","$610,000","06/26/2026","$499,000","Cape Cod","","8,812","3","1","0","","No","$9,926"
"1","26004715","S","17","RES","20 Bannehr Street","Oakland","$610,000","06/17/2026","$545,000","Ranch","","9,191","3","1","0","","No","$10,759"
"1","26017280","S","27","RES","1265 Longfellow Avenue","Teaneck","$605,000","06/24/2026","$549,999","Colonial","","7,401","3","1","1","","No","$11,112"
"1","26017333","S","9","RES","283 Cambridge Road","Hillsdale","$600,000","06/26/2026","$629,000","Split","","17,614","3","2","0","1","No","$18,928"
"1","26006817","S","20","RES","47 Franklin Avenue","Hasbrouck Heights","$600,000","06/22/2026","$565,000","Ranch","","5,249","2","1","0","0","No","$8,614"
"1","26005108","S","29","RES","6 Patton Street","Lodi","$600,000","06/24/2026","$599,000","Cape Cod","","5,650","3","1","1","1","No","$10,808"
"1","26013898","S","18","RES","582 Center               Avenue","River Edge","$590,000","06/17/2026","$590,000","Colonial","","7,850","3","1","0","0","No","$11,887"
"1","26012897","S","7","RES","34 Shadyside Avenue","Dumont","$590,000","06/22/2026","$549,000","Colonial","","4,199","3","1","1","1","No","$10,385"
"1","26007486","S","16","RES","4 Banta Place","Bergenfield","$590,000","06/22/2026","$549,000","Colonial","","3,798","3","1","1","1","No","$9,240"
"1","26016530","S","13","RES","138 Lincoln Avenue","Wood Ridge","$585,000","06/30/2026","$575,000","Colonial","","6,120","2","1","0","1","No","$8,342"
"1","26013054","S","16","RES","225 Wilson Street","Saddle Brook","$585,000","06/26/2026","$600,000","Cape Cod","","5,550","3","2","0","2","No","$9,060"
"1","26017441","S","12","RES","245 Paterson Avenue","Lodi","$575,000","06/30/2026","$524,900","Colonial","","5,001","2","1","0","","No","$8,230"
"1","26008846","S","28","RES","39-23 Van Duren           ","Fair Lawn","$575,000","06/19/2026","$599,900","Cape Cod","","","3","1","1","4","No","$9,753"
"1","26007809","S","11","RES","161 Jane Street","Englewood","$575,000","06/26/2026","$550,000","Colonial","","6,974","3","1","0","1","No","$7,706"
"1","26002839","S","66","RES","250 Stuyvesant Road","Teaneck","$575,000","06/18/2026","$550,000","Split","","5,201","4","2","0","1","No","$10,115"
"1","26018350","S","9","RES","28 Livingston Place","Teaneck","$574,007","06/24/2026","$514,000","Cape Cod","","5,401","4","2","0","1","No","$9,228"
"1","25038756","S","116","RES","800 Grand Avenue","Leonia","$570,000","06/22/2026","$559,000","Colonial","","5,898","3","1","1","0","No","$9,252"
"1","26013975","S","11","RES","23 Veterans Place","North Arlington","$565,000","06/25/2026","$549,900","Cape Cod","","5,088","3","2","0","1","No","$9,319"
"1","26009063","S","53","RES","590 North Street","Teaneck","$560,000","06/24/2026","$529,999","Duplex","","3,751","3","1","1","1","No","$9,136"
"1","26017359","S","8","RES","214 Prospect Avenue","North Arlington","$550,000","06/22/2026","$500,000","Colonial","","2,749","3","1","1","1","No","$8,548"
"1","26012235","S","11","RES","34 Greenlawn Drive","Lodi","$550,000","06/30/2026","$525,000","Cape Cod","","8,276","4","2","0","1","No","$10,998"
"1","26007802","S","65","RES","960 Maple               ","Ridgefield","$550,000","06/30/2026","$639,000","Colonial","","","3","1","1","2","No","$8,639"
"1","26015483","S","14","RES","93 Willow Street","Elmwood Park","$540,000","06/22/2026","$499,000","Cape Cod","","5,001","4","1","0","","No","$8,831"
"1","26005138","S","28","RES","16 Seminole Avenue","Dumont","$535,000","06/24/2026","$500,000","Cape Cod","","4,700","3","2","0","","No","$11,423"
"1","26016172","S","7","RES","304 Gilbert Avenue","Elmwood Park","$530,000","06/23/2026","$495,000","Ranch","","5,001","3","2","0","2","No","$8,059"
"1","25027160","S","319","RES","68 17th Avenue","Elmwood Park","$522,500","06/16/2026","$525,000","Cape Cod","","5,001","3","2","0","","No","$8,402"
"1","26003505","S","39","RES","39 Maple Avenue","Park Ridge","$515,000","06/18/2026","$499,000","Colonial","","5,001","3","2","0","1","No","$10,576"
"1","26024623","S","55","RES","65 PINE                 Street","Midland Park","$510,000","06/24/2026","$510,000","Cape Cod","","7,200","4","1","0","","No","$5,549"
"1","26004145","S","7","RES","138 Old Hoboken Road","Hackensack","$510,000","06/26/2026","$449,000","Colonial","","6,029","2","1","1","1","Yes","$8,414"
"1","26013701","S","41","RES","189 Redneck Avenue","Little Ferry","$505,000","06/17/2026","$600,000","Colonial","","10,123","3","1","0","","No","$7,576"
"1","25034618","S","144","RES","857 Garrison Avenue","Teaneck","$500,000","06/25/2026","$575,000","Colonial","","6,251","3","1","1","1","Yes","$11,649"
"1","26015142","S","30","RES","54 Gall Avenue","Elmwood Park","$485,000","06/18/2026","$485,000","Ranch","","3,999","3","1","0","2","No","$7,150"
"1","26014016","S","40","RES","48 Midland              Avenue","Garfield","$485,000","06/30/2026","$475,000","Cape Cod","","2,177","3","1","1","0","No","$5,497"
"1","26017000","S","25","RES","140 Palsa Avenue","Elmwood Park","$460,000","06/30/2026","$450,000","Ranch","","5,001","2","1","0","1","No","$7,439"
