"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths","Garage Spaces","Pool YN","Tax Annual Amount"
"1","26013741","S","6","2to4","220 8th Street","Palisades Park","$2,204,000","06/04/2026","$2,199,000","2 Fam","","5,001","8","6","0","2","No","$15,202"
"1","26022887","S","44","2to4","151 Union Street","Ridgewood","$1,999,999","06/12/2026","$1,999,999","2 Fam","","6,186","5","4","0","2","No","$15,138"
"1","26023001","S","82","2to4","211 Warwick Avenue","Fort Lee","$1,999,000","06/12/2026","$1,999,000","2 Fam","","5,001","5","4","0","1","No","$0"
"1","25043887","S","83","2to4","2410 3rd Street","Fort Lee","$1,575,000","06/29/2026","$1,750,000","2 Fam","","5,001","6","4","4","1","No","$19,651"
"1","26015043","S","23","2to4","2453 1st Street","Fort Lee","$1,485,000","06/30/2026","$1,548,000","3 Fam","","7,501","8","5","0","3","No","$18,030"
"1","26003690","S","38","2to4","539 Freeman Street","Lyndhurst","$1,425,000","06/09/2026","$1,499,000","2 Fam","","5,201","7","5","2","2","No","$0"
"1","26013588","S","29","2to4","432 Jefferson Street","Carlstadt","$1,410,000","06/27/2026","$1,299,000","2 Fam","","7,501","6","4","1","3","No","$7,890"
"1","26015202","S","11","2to4","1222 16th Street","Fort Lee","$1,240,000","06/16/2026","$999,900","2 Fam","","5,502","5","3","0","1","No","$15,984"
"1","26012156","S","12","2to4","318 3rd Street","Palisades Park","$1,215,000","06/26/2026","$1,299,000","2 Fam","","5,001","5","4","0","","No","$14,807"
"1","26013117","S","36","2to4","20 S Corabelle Avenue","Lodi","$1,210,000","06/18/2026","$1,199,999","3 Fam","","5,702","9","3","0","","No","$14,839"
"1","26009926","S","23","2to4","431 Union Avenue","Rutherford","$1,200,000","06/30/2026","$1,100,000","2 Fam","","7,501","5","3","0","2","No","$20,010"
"1","26012192","S","10","2to4","245 Wilson Avenue","Lyndhurst","$1,150,000","06/29/2026","$1,000,000","2 Fam","","5,001","6","5","0","2","No","$18,541"
"1","26007714","S","13","2to4","800 De Lalla Terrace","Ridgefield","$1,150,000","06/16/2026","$899,999","2 Fam","","5,828","5","3","1","1","No","$14,502"
"1","25043670","S","136","2to4","44 N Central Avenue","Ramsey","$1,100,000","06/30/2026","$1,199,000","4 Fam","","5,489","4","4","0","0","No","$24,010"
"1","26007834","S","13","2to4","10 E Bayview Avenue","Englewood Cliffs","$1,090,000","06/15/2026","$1,125,000","2 Fam","","7,802","3","2","1","2","No","$7,340"
"1","26014818","S","10","2to4","347 Manor Court","Lyndhurst","$991,000","06/15/2026","$850,000","2 Fam","","6,138","6","3","1","","No","$15,265"
"1","26014058","S","13","2to4","33 Westminster Place","Garfield","$950,000","06/18/2026","$899,000","2 Fam","","","6","2","0","","No","$10,000"
"1","26003181","S","42","2to4","5 Cedar Street","North Arlington","$945,000","06/26/2026","$875,000","2 Fam","","5,001","6","3","0","","No","$16,910"
"1","26006663","S","40","2to4","412 Walker Street","Fairview","$935,000","06/02/2026","$949,000","3 Fam","","2,500","7","3","1","1","No","$17,528"
"1","26001585","S","23","2to4","311 S Maple Avenue","Ridgewood","$933,000","06/01/2026","$750,000","2 Fam","","9,496","5","2","0","2","No","$15,389"
"1","26008118","S","11","2to4","80 Koster Street","Wallington","$930,000","06/09/2026","$885,000","2 Fam","","5,009","5","2","0","","No","$11,805"
"1","26010488","S","31","2to4","374 Broad Street","Ridgewood","$925,600","06/26/2026","$840,000","2 Fam","","7,971","4","2","0","4","No","$10,095"
"1","26007979","S","22","2to4","397 Oak Street","Ridgefield","$925,000","06/10/2026","$849,990","2 Fam","","4,474","5","3","0","2","No","$13,332"
"1","26013468","S","26","2to4","280 Macarthur Avenue","Garfield","$915,000","06/25/2026","$899,999","3 Fam","","4,635","10","3","0","0","No","$14,496"
"1","26013614","S","16","2to4","82 Westervelt Place","Lodi","$891,000","06/30/2026","$809,900","3 Fam","","5,001","7","3","0","","No","$14,946"
"1","26012379","S","12","2to4","264 Lincoln Place","Garfield","$890,000","06/09/2026","$765,000","2 Fam","","7,741","5","3","1","2","No","$11,366"
"1","26010309","S","13","2to4","21 Overpeck Avenue","Ridgefield Park","$890,000","06/08/2026","$875,000","2 Fam","","4,500","5","2","0","","No","$12,210"
"1","26015536","S","10","2to4","43 4th Street","Ridgefield Park","$875,000","06/11/2026","$875,000","2 Fam","","4,800","5","2","0","2","No","$12,240"
"1","26005998","S","18","2to4","181 Ridge Avenue","Park Ridge","$875,000","06/02/2026","$849,000","2 Fam","","14,972","3","3","0","1","No","$13,779"
"1","26008339","S","42","2to4","243 Main Street","New Milford","$815,000","06/11/2026","$850,000","2 Fam","","7,649","4","3","0","0","No","$8,500"
"1","26012071","S","12","2to4","272 Wilson Avenue","Fairview","$800,000","06/16/2026","$775,000","2 Fam","","3,498","4","3","0","1","No","$11,350"
"1","26010167","S","13","2to4","204 Hayward Place","Wallington","$800,000","06/30/2026","$699,000","2 Fam","","3,746","5","2","2","","No","$12,875"
"1","26004013","S","19","2to4","311 Marvin Avenue","Hackensack","$795,000","06/15/2026","$697,000","2 Fam","","5,301","5","2","0","","No","$13,834"
