"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths","Garage Spaces","Pool YN","Tax Annual Amount"
"1","25033942","S","224","RES","4 Duck Pond Road","Alpine","$7,300,000","06/10/2026","$7,998,000","Colonial","","65,776","6","9","2","","Yes","$25,402"
"1","24030293","S","558","RES","51 Chestnut Ridge Road","Saddle River","$5,612,500","06/15/2026","$5,900,000","Colonial","10,754","83,635","5","6","2","7","Yes","$41,735"
"1","26020774","S","6","RES","910 Scioto Drive","Franklin Lakes","$4,750,000","06/02/2026","$4,750,000","Colonial","","40,946","5","5","3","","No","$46,698"
"1","26007327","S","27","RES","2 Maple Street","Englewood Cliffs","$4,700,000","06/01/2026","$4,880,000","Colonial","","12,320","7","6","2","3","Yes","$11,316"
"1","25019444","S","96","RES","711 Cheyenne Drive","Franklin Lakes","$4,625,000","06/08/2026","$4,875,000","Colonial","","43,996","5","6","1","4","Yes","$0"
"1","25040513","S","101","RES","24 Tulip Tree Lane","Alpine","$4,250,000","06/02/2026","$4,399,995","Colonial","","184,302","5","7","2","4","No","$26,491"
"1","25043030","S","10","RES","474 Heights Road","Ridgewood","$4,195,000","06/01/2026","$4,195,000","Colonial","","40,990","6","5","1","3","Yes","$68,808"
"1","22039212","S","1,271","RES","64 Stony Ridge Road","Saddle River","$3,995,000","06/15/2026","$4,295,000","Colonial","7,921","76,230","5","6","2","4","Yes","$34,185"
"1","26022605","S","115","RES","40 Leroy Street","Tenafly","$3,925,000","06/01/2026","$3,999,000","Colonial","","13,904","6","6","1","2","Yes","$20,222"
"1","26014713","S","16","RES","427 Spring Avenue","Ridgewood","$2,900,000","06/15/2026","$2,395,000","Colonial","","25,875","5","4","1","3","No","$35,347"
"1","26012210","S","21","RES","240 Green Ridge Road","Franklin Lakes","$2,900,000","06/11/2026","$3,150,000","Colonial","","91,476","5","5","1","2","Yes","$29,800"
"1","26014083","S","8","RES","7 Brookside Drive","Upper Saddle River","$2,890,000","06/02/2026","$2,890,000","Colonial","","37,462","5","5","1","3","No","$26,391"
"1","26008089","S","12","RES","67 Norman Place","Tenafly","$2,890,000","06/01/2026","$2,850,000","Colonial","","26,354","6","4","1","2","No","$41,622"
"1","26022485","S","346","RES","32 Kennedy Drive","Cresskill","$2,850,000","06/10/2026","$2,850,000","Contemp","","40,001","4","4","1","1","Yes","$38,654"
"1","26010251","S","30","RES","28 Rockleigh Road","Rockleigh","$2,830,000","06/01/2026","$2,900,000","Contemp","","87,120","6","5","2","3","Yes","$15,102"
"1","26011006","S","31","RES","27 Garret Place","Glen Rock","$2,685,000","06/05/2026","$2,749,000","Colonial","","10,616","6","5","1","2","No","$0"
"1","26006048","S","61","RES","40 Godfrey Terrace","Glen Rock","$2,400,000","06/11/2026","$2,500,000","Colonial","","10,581","6","5","","2","No","$0"
"1","26010525","S","23","RES","718 High Woods Drive","Franklin Lakes","$2,350,000","06/11/2026","$2,399,000","Colonial","","58,327","5","4","1","","Yes","$36,505"
"1","26010558","S","21","RES","520 Homans Avenue","Closter","$2,275,000","06/02/2026","$2,395,000","Colonial","","16,117","5","5","1","2","No","$30,148"
"1","26015357","S","6","RES","1221 Fairmount Place","Fort Lee","$2,217,000","06/04/2026","$1,999,999","Colonial","","7,501","5","4","1","3","No","$28,261"
"1","26020789","S","147","RES","816 Crescent Avenue","Allendale","$2,175,000","06/01/2026","$2,295,000","Colonial","","69,696","4","3","1","3","No","$47,833"
"1","26015540","S","10","RES","540 Upper Boulevard","Ridgewood","$2,103,000","06/08/2026","$1,875,000","Colonial","","11,979","4","2","1","2","No","$25,470"
"1","26010104","S","6","RES","505 Ivy Lane","Wyckoff","$2,100,000","06/01/2026","$2,100,000","Colonial","","29,921","5","4","1","3","No","$30,761"
"1","26002180","S","5","RES","130 Glenwood Road","Ridgewood","$2,100,000","06/05/2026","$1,649,000","Colonial","","14,680","4","3","1","3","No","$24,258"
"1","26012091","S","15","RES","69 Woodland Road","Montvale","$2,087,500","06/04/2026","$2,199,995","Colonial","","","5","6","0","3","No","$26,050"
"1","26022361","S","91","RES","8 Stony Point Road","Oakland","$2,065,000","06/12/2026","$2,100,000","Colonial","","68,563","5","4","3","","Yes","$38,508"
"1","25037768","S","6","RES","429 Fairway Road","Ridgewood","$1,995,000","06/11/2026","$1,995,000","Colonial","","","5","3","2","2","No","$29,330"
"1","26005733","S","13","RES","70 Hummingbird Court","Wyckoff","$1,987,499","06/03/2026","$2,050,000","Colonial","","40,045","5","4","1","3","Yes","$25,293"
