"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths","Garage Spaces","Pool YN","Tax Annual Amount"
"1","26024290","S","151","CCT","301 Beech Street Unit#2C","Hackensack","$400,000","06/26/2026","$400,000","Condo","1,349","","2","2","0","","Yes","$9,000"
"1","26009124","S","20","CCT","1060 Chedworth Circle","Mahwah","$400,000","06/16/2026","$399,999","Condo","960","","2","2","0","0","Yes","$5,910"
"1","26007326","S","32","CCT","25 Willow Wood Square Unit#25","East Rutherford","$396,000","06/08/2026","$395,000","Condo","1,026","","1","1","1","0","No","$4,883"
"1","26014029","S","22","CCT","233 12th Street Unit#5E","Palisades Park","$392,000","06/30/2026","$392,000","Condo","860","","1","1","0","","No","$4,268"
"1","26014455","S","21","CCT","17 Colonial Village     Drive","Hillsdale","$385,000","06/25/2026","$350,000","Condo","","","1","1","0","","No","$6,494"
"1","26012806","S","36","CCT","550 Fairview Avenue Unit#308","Westwood","$381,000","06/26/2026","$389,000","Condo","900","","2","1","0","1","Yes","$5,807"
"1","26007540","S","16","CCT","184 S Washington Avenue Unit#A6","Bergenfield","$380,000","06/10/2026","$335,000","Condo","967","","2","1","0","1","No","$8,474"
"1","26003477","S","95","CCT","2195 N Central Road Unit#3E","Fort Lee","$375,000","06/18/2026","$388,000","Condo","","","2","1","0","0","No","$5,413"
"1","26014898","S","8","CCT","15 Cottage Street Unit#11A","Midland Park","$370,000","06/08/2026","$375,000","Condo","688","","1","1","0","","No","$7,003"
"1","26011865","S","2","CCT","2000 Linwood Avenue Unit#17H","Fort Lee","$365,000","06/05/2026","$380,000","Condo","848","","1","1","0","","Yes","$6,021"
"1","26024135","S","48","CCT","207 Mark Twain Way","Mahwah","$360,000","06/17/2026","$360,000","Condo","1,092","","1","1","0","1","No","$5,872"
"1","26009709","S","23","CCT","2150 Center               Avenue Unit#3C","Fort Lee","$360,000","06/18/2026","$360,000","Co-op","","","2","2","1","1","Yes",""
"1","25030622","S","179","CCT","275 Engle Street Unit#J4","Englewood","$349,000","06/18/2026","$349,000","Condo","","","2","1","0","","No","$6,355"
"1","26013888","S","38","CCT","3120 Cory Lane Unit#3120","Elmwood Park","$340,000","06/26/2026","$299,000","Condo","814","","1","1","0","1","Yes","$6,839"
"1","26015677","S","11","CCT","3801 Mark Twain Way","Mahwah","$335,000","06/10/2026","$335,000","Condo","838","","1","1","0","","Yes","$4,679"
"1","26010314","S","18","CCT","401 Dercole              Unit#111","Norwood","$335,000","06/23/2026","$335,000","Condo","","","1","1","1","1","No","$6,802"
