"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths"
"1","26008246","S","7","2to4","519 Broad Avenue","Palisades Park","$1,701,000","05/22/2026","$1,695,000","2 Fam","","7,000","7","5","0"
"1","26007157","S","12","2to4","100 Harwood Terrace","Palisades Park","$1,700,000","05/13/2026","$1,699,000","2 Fam","","5,000","7","5","2"
"1","26008778","S","24","2to4","35 E Edsall Avenue","Palisades Park","$1,310,000","05/12/2026","$1,295,000","2 Fam","","5,001","4","4","0"
"1","26008493","S","12","2to4","24 Maple Avenue","Waldwick","$1,100,000","05/29/2026","$999,000","2 Fam","","6,251","5","3","0"
"1","25034589","S","33","2to4","105 Jason Way","North Arlington","$1,075,000","05/06/2026","$975,000","2 Fam","","5,489","6","4","2"
"1","26005487","S","7","2to4","20 Shetland Lane","Palisades Park","$1,050,000","05/18/2026","$1,090,000","2 Fam","","5,001","4","4","0"
"1","26016671","S","110","2to4","261 10th Street","Palisades Park","$1,025,000","05/01/2026","$1,025,000","2 Fam","","5,001","4","2","0"
"1","26007482","S","15","2to4","123 Chestnut Street","Garfield","$999,500","05/01/2026","$999,000","2 Fam","","4,688","5","3","0"
"1","26013140","S","5","2to4","89 Norwood Avenue","Lodi","$999,000","05/27/2026","$977,000","2 Fam","","7,501","6","4","1"
"1","26014499","S","6","2to4","102 Gall Court","Elmwood Park","$979,000","05/29/2026","$874,900","2 Fam","","6,199","6","4","0"
"1","25043869","S","101","2to4","48 Main Avenue","Wallington","$974,000","05/21/2026","$974,000","2 Fam","","7,405","7","3","1"
"1","26004281","S","95","2to4","433 Chase Avenue","Lyndhurst","$945,000","05/16/2026","$965,000","2 Fam","","5,475","4","3","0"
"1","26010539","S","5","2to4","33 4th Street","Park Ridge","$934,000","05/18/2026","$889,000","2 Fam","","18,600","5","3","0"
"1","26004605","S","3","2to4","214 Morris Street","Fairview","$930,000","05/07/2026","$850,000","2 Fam","","3,751","6","3",""
"1","25039809","S","19","2to4","57 Luke Avenue","Bergenfield","$920,000","05/15/2026","$999,000","4 Fam","","4,600","10","4","0"
"1","26008970","S","14","2to4","127 Morris Avenue","Garfield","$900,000","05/27/2026","$799,900","2 Fam","","3,750","6","3","0"
"1","26004251","S","52","2to4","162 E Fairmount Avenue","Maywood","$895,000","05/21/2026","$899,500","2 Fam","","6,599","4","3","0"
"1","26012030","S","5","2to4","265 Lincoln Place","Garfield","$880,000","05/19/2026","$778,000","2 Fam","","4,500","6","3","2"
"1","26002310","S","44","2to4","20 Grand Street","Garfield","$875,000","05/08/2026","$895,000","4 Fam","","6,125","8","4","0"
"1","26019246","S","87","2to4","631 2nd Avenue","Lyndhurst","$850,000","05/22/2026","$849,000","2 Fam","","5,950","4","3","0"
