"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths"
"1","26011304","S","29","RES","2 Alford Drive","Saddle River","$4,125,000","05/29/2026","$4,495,000","Colonial","","99,752","6","7","1"
"1","26019249","S","18","RES","350 Piermont Road","Norwood","$3,827,752","05/22/2026","$4,250,000","Contemp","","65,776","5","7","1"
"1","25028318","S","254","RES","3 Central Avenue","Demarest","$3,450,000","05/21/2026","$3,499,000","Colonial","","15,000","6","6","1"
"1","26010776","S","8","RES","116 Cedar Lane","Closter","$2,680,000","05/30/2026","$2,490,000","Colonial","","21,780","6","5","1"
"1","26010394","S","17","RES","356 Bullard Avenue","Paramus","$2,670,000","05/22/2026","$2,650,000","Colonial","","10,877","6","6","1"
"1","25036577","S","125","RES","119 Sheridan Terrace","Ridgewood","$2,500,000","05/21/2026","$2,699,000","Colonial","","25,134","6","5","2"
"1","26006128","S","47","RES","26 Laurie Drive","Englewood Cliffs","$2,499,999","05/27/2026","$2,699,000","Colonial","","12,001","5","4","0"
"1","26004144","S","8","RES","80 Crest Road","Ridgewood","$2,499,995","05/18/2026","$2,349,000","Colonial","","12,807","5","4","1"
"1","25035763","S","175","RES","794 Blauvelt Street","River Vale","$2,400,000","05/28/2026","$2,599,000","Colonial","","117,612","5","4","1"
"1","25031168","S","30","RES","214 Forest Road","Fort Lee","$2,370,000","05/19/2026","$2,387,000","Contemp","","5,001","4","4","1"
"1","26019566","S","83","RES","38 Roslyn Avenue","Englewood Cliffs","$2,250,000","05/26/2026","$2,250,000","Colonial","","13,664","5","4","1"
"1","26003135","S","69","RES","580 Nordhoff Drive","Leonia","$2,200,000","05/20/2026","$2,499,999","Ranch","","14,900","5","4","1"
"1","26013909","S","7","RES","540 Helena Avenue","Wyckoff","$2,150,000","05/29/2026","$1,995,000","Colonial","","39,600","4","4","0"
"1","25037016","S","7","RES","86 Carlton Avenue","Ho-Ho-Kus","$2,115,000","05/28/2026","$1,850,000","Split","","21,260","5","3","1"
"1","26007856","S","10","RES","340 Fairway Road","Ridgewood","$2,100,000","05/18/2026","$1,825,000","Colonial","","11,238","5","3","0"
"1","26009261","S","7","RES","30 Chestnut Ridge Road","Saddle River","$2,050,000","05/20/2026","$2,222,000","Ranch","","87,120","6","5","0"
"1","26008147","S","29","RES","23 Olney Road","Mahwah","$1,999,000","05/28/2026","$2,150,000","Colonial","","78,408","8","5","2"
"1","26001080","S","102","RES","298 Buttonwood Drive","Paramus","$1,999,000","05/26/2026","$2,195,000","Colonial","","9,374","5","5","2"
"1","26009189","S","12","RES","274 Cornwall Road","Glen Rock","$1,995,999","05/18/2026","$2,195,000","Colonial","","13,573","6","5","1"
"1","25039645","S","143","RES","19 Meadowbrook Road","Upper Saddle River","$1,950,000","05/22/2026","$1,999,999","Colonial","","37,462","6","6","1"
"1","26001046","S","13","RES","777 W Saddle River Road","Ho-Ho-Kus","$1,850,000","05/21/2026","$1,499,000","Colonial","","52,272","4","2","1"
"1","26002127","S","78","RES","124 Coopers Lane","River Vale","$1,780,000","05/27/2026","$1,700,000","Colonial","","22,734","5","4","1"
"1","25043672","S","36","RES","15 Gristmill            Lane","Upper Saddle River","$1,777,000","05/28/2026","$1,899,000","Contemp","","58,806","5","4","1"
"1","26004134","S","49","RES","2189 Jones Road","Fort Lee","$1,760,000","05/22/2026","$1,899,999","Contemp","","","3","4","2"
"1","26002289","S","13","RES","320 Long Bow Drive","Franklin Lakes","$1,750,000","05/29/2026","$1,849,000","Ranch","","50,965","4","2","1"
"1","25026654","S","237","RES","1076 River Road","Edgewater","$1,750,000","05/21/2026","$1,888,888","Contemp","","1,999","3","3","2"
"1","26016624","S","3","RES","83 Norman Place","Tenafly","$1,650,000","05/30/2026","$1,623,000","Split","","18,300","4","4","0"
"1","26011867","S","7","RES","519 Summit Street","Ridgewood","$1,597,500","05/27/2026","$1,195,000","Split","","10,498","4","2","1"
"1","26011556","S","14","RES","203 Marcotte Lane","Bergenfield","$1,550,000","05/28/2026","$1,275,000","Colonial","","","4","4","0"
"1","26007073","S","8","RES","303 Pershing Avenue","Ridgewood","$1,500,000","05/18/2026","$1,450,000","Split","","10,019","4","2","1"
"1","26009079","S","35","RES","35 Lloyd Road","Ho-Ho-Kus","$1,475,000","05/27/2026","$1,475,000","Split","","17,576","5","3","1"
"1","26002488","S","8","RES","47 Susan Drive","Closter","$1,460,000","05/19/2026","$1,300,000","Split","","14,810","4","3","0"
"1","26003873","S","24","RES","369 W Saddle River Road","Upper Saddle River","$1,455,000","05/26/2026","$1,350,000","Split","","39,640","5","3","1"
"1","26008189","S","13","RES","108 Hendrickson         ","Haworth","$1,435,000","05/22/2026","$1,295,000","Split","","16,884","4","3","0"
